instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
14824767,1577,120,10432,449
9956754,97144,2886,15757,3891
11895422,8383,275,12775,1733
9321587,36123,632,13529,892
11807443,5327,35,5808,222
10120288,3425,67,5040,45
4442278,97315,3134,12725,3907
8601272,118603,1238,12966,2699
2545108,75090,2886,22889,3108
582797,43107,733,5193,1204
2362639,133268,3611,16443,4003
4562692,45678,1713,23806,1910
2626738,76753,3910,17137,3354
0,0,0,0,0
769803,61562,3783,13405,4168
2512854,159591,4511,13914,5083
2025967,69195,1463,4854,1581
1090758,51004,3695,6107,2960
719236,41203,2945,5344,2426
1423627,82192,7851,9429,8038
808024,54539,6928,9138,6957
656492,38469,4549,9590,4924
978753,52957,5245,13205,4646
3320614,80801,11373,31260,11054
2020225,87354,13413,39753,11324
2416576,111953,11293,21322,10534
2849162,118131,9295,21264,10619
1195413,93315,4327,12805,5975
886446,80066,4865,10778,7377
900429,72997,5685,12543,7238
923018,75906,5930,12115,5817
890497,68746,5796,12664,6295
1073334,83580,5675,9655,6419
11129874,15569,713,4978,1174
13055971,19099,2046,6034,3145
2746394,145360,8551,26022,8956
1856662,104209,13183,19239,13608
2971891,83642,13598,30411,13656
2992646,93678,13955,26395,12852
2792121,113119,12066,24929,11807
3238777,86387,15169,14795,13124
5016334,103084,9511,17055,11342
13607880,1357,248,2006,1009
8409704,65338,7817,13644,8181
3193130,92711,14283,17664,14289
8557636,13517,3401,10212,3665
6770940,100080,6883,13957,8879
1869517,105470,8358,19240,7648
11458581,38912,434,4346,516
13291699,15626,432,3864,784
2547833,140213,6357,25308,8736
1375855,64506,3376,9143,3289
0,0,55,773,365
16131355,6155,301,1298,221
17814896,443,42,753,511
11690098,11611,1101,8344,2610
11923980,3121,59,7157,783
9209513,16538,1158,8513,2425
5381,3018,179,520,189
2341350,106588,2051,45225,1971
1836360,101306,8154,19642,9360
2044737,104052,14851,19148,12706
2224036,133506,13253,17896,11945
2371591,127941,18915,15523,16831
2193513,132275,18308,15285,16918
2362214,137342,17616,14505,16511
2468364,136276,18916,14159,16825
2544282,143961,12898,14597,12034
1997207,80155,7913,18627,10263
0,0,0,0,0
0,0,0,0,0
26694,1019,37,225,47
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,44,27
1582,317,26,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1040,207,24,24,22
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
45163,4046,254,589,198
632675,21301,1148,4982,979
547488,17657,1129,6186,1196
927691,10419,466,7728,284
0,0,0,0,0
4264,2902,261,531,382
1371328,16103,827,4443,745
1276442,14198,650,5174,585
3944084,33301,1986,8037,2372
3121151,44730,2257,10414,1994
3296470,53471,1289,21503,829
1650146,69908,2913,12772,2865
3452953,56805,2557,14995,1878
4588748,56721,1719,15868,974
4627422,34418,1321,11295,1020
5912274,31301,391,10549,249
6170273,42484,299,21331,327
6090311,84607,290,25377,787
9389981,44454,141,27509,406
7159428,40848,1376,21976,1108
5436970,107837,1872,23943,1847
3477669,101344,2974,19300,2822
4795692,88264,1852,20438,1322
4946278,38134,1679,21683,821
5838586,13665,1273,28598,338
6609088,59647,1381,25244,1199
7392797,37492,1422,21388,1678
3482861,154702,4907,16860,6206
5131931,59329,2984,30193,2104
4130700,41492,2516,15173,1728
6757117,42966,1203,20190,1007
4338234,82503,1919,18853,2070
1670709,119838,5226,16569,6385
6544312,56221,1773,19710,1610
11485994,11255,508,2280,232
9726874,37510,1124,12299,987
3167530,54560,2409,9458,2293
1174133,68866,3541,8377,3123
798371,72193,3409,10153,2945
5690949,61700,1967,26985,2019
4139023,174578,2844,27269,3795
4313110,172433,4512,18546,5536
4612134,54925,2644,24755,1902
5812212,40660,2866,22565,2176
5243883,63398,2559,19287,2412
5881316,31423,2260,32137,1187
8552989,36168,1698,3418,861
5951321,85719,2021,18959,2405
2316522,117570,1898,17964,2863
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
