instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
14564565,7378,98,10482,54
10296994,55528,2328,10644,3323
10059762,26009,435,10338,2373
9516128,37820,780,15075,1112
11896383,6033,41,6030,178
11376475,460,31,7877,2286
7934497,98301,3061,13364,4135
6742695,140623,3030,17086,4321
2738908,166192,3283,16969,4119
2522626,80558,4239,16765,3943
1185280,3248,788,1287,318
31434,6036,278,896,247
1492,558,26,73,18
1449811,106803,5658,18659,6691
2634758,143090,1328,6988,1530
442533,41674,3330,5857,3063
1069750,42933,2815,5233,2398
1379136,66933,7413,8473,6776
863230,70718,7143,9423,7705
1247739,51559,6962,13778,6679
1414389,69268,6776,19648,6935
3109357,86173,12399,27976,11725
2063033,87051,12560,38327,10439
2660911,133493,12570,23134,12275
2656189,112624,5725,19581,8533
968844,86755,4546,11190,6369
489012,49932,2744,7096,4123
725125,61272,5435,9332,6443
963032,77147,5386,13455,5571
865961,78857,6568,12476,6390
1188154,90797,6387,13291,7596
11715202,13295,433,4149,818
12661268,23477,2623,6828,3726
2738352,146010,9010,25914,9896
2054725,102260,13380,22299,13277
2984118,82270,13710,29589,13730
3021103,101191,13695,25363,12950
2758897,117010,12860,24623,13430
3389632,91644,15956,16984,14567
7416203,80316,6299,13232,6877
14419060,648,312,1205,1216
5405685,99988,12359,19009,11902
3693385,65422,11998,16898,12854
10749095,6070,1043,9039,2504
3988533,126906,11404,17544,12846
4196323,112332,4232,16863,3826
13778214,1217,51,2186,867
9267167,76125,2768,15104,4984
2314818,145635,7600,23223,7875
265609,0,0,0,0
11416848,5784,377,2142,512
18216829,452,42,707,49
14828210,11041,1091,8395,3117
11817373,3689,68,7234,987
10436507,9053,747,8284,2207
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
37664,7191,388,1045,479
0,0,0,0,0
2320161,38853,2059,17781,1782
3653804,67351,1824,42667,2029
2333038,128965,5761,23772,6376
1689993,90508,10359,18451,9374
2155893,134368,16845,19676,15010
2602014,124222,15166,15431,13830
2183796,136755,18328,15175,16346
2421671,145757,20357,15649,18016
2644084,137864,19115,14576,17425
2460601,152128,17062,16551,15219
2694811,94732,8074,20470,10709
46560,1245,13,54,18
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1600,658,28,102,28
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
69609,1548,133,394,81
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13864,4140,177,752,173
484369,20373,995,5136,791
340375,17046,965,2093,928
675748,12307,763,10744,807
790868,18245,1051,4048,1241
2394351,17542,687,6054,756
4147924,38024,3215,11163,3149
2356399,55582,2508,9751,2425
3763512,47287,1321,20744,660
1294407,70088,3070,11704,2976
3621814,60093,1473,16827,1088
2930739,52010,2453,13767,1310
4938314,50783,1277,15733,880
7571776,22876,141,9065,310
5547217,56796,537,24918,423
