instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
2888743,141346,13114,24209,11751
2539047,128467,7993,30012,7846
4142282,104541,1736,31138,1259
3079814,134530,2232,24540,2543
3093255,93921,6100,17102,11064
2675692,116914,6461,17705,8715
3078953,106824,10686,20081,10138
11205361,1500,215,2355,701
11841811,13300,1441,2986,2276
2330077,127911,9106,20504,9637
10532432,13009,60,3565,386
13497336,1307,294,1333,611
3096002,116130,8072,20086,7652
3031365,153537,6020,23701,4687
3486655,124062,2535,22225,2880
11204191,6722,213,9450,131
8536836,31134,1442,11983,1259
6888631,38963,1271,21334,1429
11710003,24510,205,9425,163
12692276,8257,266,8245,962
7803938,74464,2518,13482,2883
10509027,28768,596,9126,1886
12131476,3892,41,5941,109
12157859,2295,31,6413,80
8489694,95924,3018,13007,3921
6789471,139838,3403,15941,5473
2536610,159921,3154,17546,4531
6376084,93072,1951,13368,1711
14144773,1570,55,1613,1135
6478769,99314,5122,20359,7610
2315481,116238,5018,17816,4799
952465,6957,555,1508,385
0,0,0,0,0
79384,12865,820,1709,747
0,0,0,0,12
200978,34559,2443,4469,2407
232011,29991,2212,3160,1893
431642,38689,1777,5206,1695
226248,34316,2764,4002,2581
203978,28264,2071,2737,1907
936135,82818,4232,13811,4788
865272,64147,2731,7033,2667
211062,29379,1942,2794,1489
133596,18694,1365,1916,1046
377791,38307,1812,4118,1774
106777,15750,1150,1490,964
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
109494,15439,1071,1570,977
166014,25868,2106,2880,1982
186312,22880,1523,2769,1458
2621890,109487,4137,19916,4371
2136044,73685,12237,17134,12128
2656647,60132,8923,27224,8478
2072671,89736,12827,21780,12301
2611506,106198,12115,23029,11971
3206838,65568,12156,11188,9620
2898822,104856,9271,16716,11544
11823346,1213,188,2323,554
11959821,69312,8819,15270,9463
3441628,100310,16335,21688,15474
12971503,39230,2962,12807,4524
2237717,101369,9373,11690,8042
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12820800,4782,346,1804,532
16360032,492,42,592,56
12922109,10321,1082,8324,3208
13317096,3232,63,6277,129
11240870,10318,770,7985,1687
74138,6941,412,591,103
1772334,109152,2060,45948,2086
2281905,118301,9875,22584,11190
2320293,95096,13286,16516,10959
1942913,111330,13108,16422,12151
2108568,123417,15671,13700,14089
2135739,120344,15133,14781,13829
2139236,120946,16981,13173,14772
2165921,121241,16095,12499,14649
2192979,121410,15103,13900,13710
2100750,121309,12042,16655,15241
2395066,43457,4352,12664,3380
0,0,0,0,0
69555,1488,138,334,127
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1626,684,29,105,35
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5510,805,37,171,41
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
16481,6795,348,1822,287
611807,23585,951,4838,961
541184,15306,1007,6043,1064
947479,18954,875,8619,914
1721002,14856,775,5883,717
1795107,12393,549,3161,602
2301834,11368,726,2821,747
789060,19013,981,3893,974
3100007,50794,2836,11460,2563
3418023,68232,2338,23100,2241
2668306,86497,3204,18239,2518
4179301,62186,2927,15101,2179
5194436,66326,2307,21797,1399
9288360,64862,613,20346,606
9045453,88188,295,30782,758
9276869,33719,113,27169,274
7588697,42524,923,24260,887
5219804,100393,1672,23737,1652
4637452,77642,1564,18765,1000
2104412,89986,2294,17111,1657
6625943,60859,1515,20220,1118
187230,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1182202,11089,981,7261,454
5552873,18663,1357,35081,416
5195365,39077,1349,19494,784
6325528,36225,770,15522,782
4630775,38752,1356,16661,1507
2445078,141338,4482,18976,5453
4801264,38173,1776,20900,1575
1054478,30783,3794,6656,1975
2799204,25861,2779,9143,1707
5124606,47603,1069,20303,1183
5965495,79375,2088,20197,1702
2042210,135597,5888,19841,7170
7089267,47457,1611,17530,865
13434426,5163,62,1923,112
9340610,41248,1170,15727,1240
1288700,63955,3439,7680,2914
1189101,76270,3861,9549,3570
3617250,62300,2741,21870,2636
5227023,128567,3177,28922,3655
4497899,214112,1682,24971,3292
5156192,78690,5061,25542,4412
6030713,42745,2951,22223,2511
5245400,68122,2751,21561,2486
6783784,42163,2376,32162,1336
9368171,26000,1540,2875,574
4545702,138030,2155,26125,3029
1446636,56794,1036,9019,1438
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,6,5
37811,1220,108,229,79
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1594,669,26,106,29
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
134,194,3,22,3
799,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5356,2389,100,313,65
20380,9491,363,2809,410
321582,26041,392,3120,384
2987376,3021,40,444,73
1436635,45510,1124,7232,1546
691810,56437,1911,7668,2699
2523227,21092,196,4818,453
3679900,2381,105,1186,62
6668120,1032,2,546,38
10872678,36470,1151,16143,930
8738155,62011,1785,25510,1650
4457023,216045,3455,34349,5561
4725402,87809,2782,30716,2532
6977510,44151,1149,24814,1147
7066889,45851,1087,18713,1042
9984757,257,21,67,55
8193083,41275,1167,20777,767
7009683,88404,1356,32003,922
7510969,140959,1242,31628,1475
8347098,96122,439,27639,941
8464018,30736,422,26709,378
8230764,50464,261,25406,553
6505502,109411,425,27394,852
6379721,106031,1017,27893,2055
6823804,85332,899,28821,987
7546239,84932,122,24891,1179
7131783,107699,470,21322,1269
6498834,74074,766,22231,615
7538000,18618,319,22698,182
8105611,17965,285,22205,126
6692870,45558,1576,22823,993
7530078,3187,772,28119,40
8921254,9361,419,26207,215
6572382,10375,1126,36960,474
7634712,35093,940,16066,513
