instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
12516397,97200,2944,16944,3518
12698412,4871,419,9967,377
8662426,47992,731,19914,1659
2671196,2888,110,1577,131
10823351,8712,270,6623,689
10973327,2166,60,5831,104
6957815,100788,3147,13346,3978
5612778,64206,1007,8739,2183
3733390,95862,2564,24116,2452
3229704,106514,2565,18565,3599
2886409,112534,3508,16497,3846
2167069,67311,3251,12043,2898
554973,270,128,337,43
0,0,0,0,0
31442,6199,289,883,233
37580,3289,656,1268,540
1642202,111331,5755,18467,6575
2437323,136950,1031,6370,1288
416870,39198,3096,5608,2983
1092579,43454,3021,5178,2143
1224859,56965,6554,6971,5932
928084,77636,6952,10002,7576
1031143,47970,6516,12246,6503
1042295,61294,6238,16290,6075
3259091,81542,10825,29270,10743
1991618,84035,12952,39053,11213
2407239,106675,11374,20968,10238
2852120,126390,9510,22248,11401
1295128,90621,4285,11466,6562
596063,61232,3156,7748,3878
687319,56176,5044,9108,6830
984364,87808,5930,13062,6918
762673,63198,5991,11601,5922
926958,84902,5971,13414,6488
8788432,47074,2946,7808,3321
13914468,916,345,1083,1046
4420247,134536,8728,25209,9100
1914538,115075,11798,21803,13233
2694915,83317,15311,26294,14576
3269257,91807,13463,30429,12814
2734531,117837,12275,24684,11739
3440703,102160,18266,18697,16130
6523370,95755,7520,15622,9461
14215036,1328,299,1615,1039
6794466,81159,10162,16485,10238
3347390,82403,12973,17195,13562
9929027,9226,2398,10016,3888
5176235,118848,9799,15694,10531
2655028,119904,5737,18932,5829
16180895,1169,58,2226,948
8856439,80062,3458,16478,5904
2279194,135845,6689,21710,7479
136198,3517,109,264,109
4853523,5784,372,2250,470
17814107,502,40,1871,50
15755066,10732,1072,5107,1809
11787611,3509,76,8555,2311
11978760,1265,33,7351,970
4558178,8924,727,3840,1089
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
291,176,7,480,446
36066,6827,373,514,8
0,0,0,0,0
1568533,83621,1878,39719,1905
2331857,116308,7830,22143,8264
1790618,94897,10837,18771,10289
1954441,104088,11726,15178,10217
2022670,110935,14510,12960,13085
1952814,125741,16270,14473,14662
2245473,109038,13916,11997,12349
1846134,131013,18915,14425,16616
2457534,133678,18652,13940,16304
2516376,118984,10941,13669,11582
1952186,72493,7520,17479,9014
906,421,12,46,19
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1630,325,8,52,16
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
141,809,131,324,95
69554,597,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,3
17536,4829,249,624,160
605602,19740,986,4596,806
526987,19170,1344,6702,1594
987440,16898,823,8468,905
1583427,15457,815,5596,745
1928147,11437,540,3310,564
2258360,8515,378,2413,575
2798815,49816,2531,11507,2786
3816755,58045,2093,21952,1483
2131103,82102,3219,15534,3235
3751186,64503,2769,15239,1986
5171233,66442,2108,18971,1456
6214751,30274,1028,12363,603
7742118,67082,621,22197,638
7766221,76394,225,28026,646
8750260,42489,133,27936,376
7211376,34699,1174,20895,904
5405205,103835,1559,24520,1639
3828432,86939,2261,17243,1982
3936931,103872,2524,20648,1680
5271545,42385,1672,17706,993
5686055,16266,1063,29512,277
5511446,39601,1504,22541,1006
6420887,41876,1060,19417,1008
5257415,81689,1827,20153,2852
3785236,110384,4715,22560,4675
3606114,53040,2846,17657,2440
4871378,41717,1819,17596,1561
6291446,42255,1952,25877,1127
3870541,103489,2290,14672,3265
2054948,120369,5100,26970,5974
9664651,26485,1169,4796,491
14070279,6772,84,2123,309
5833111,56506,1895,16945,1476
1186080,67306,3474,7851,2790
435803,29984,2089,3575,1823
1526442,75280,3385,13231,3088
6196928,49999,1472,21682,1508
2607451,136654,2824,24497,3442
4137946,188998,1391,21636,2871
4569961,81781,5612,27639,4574
6727807,40736,2710,22291,2274
5275766,62018,2564,19291,2177
5933854,19974,1921,27691,675
1163237,26683,966,3437,722
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5057856,20043,945,2759,630
7552902,108576,2310,22314,2743
2534318,87588,1539,13811,1981
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
84014,1543,552,793,201
256653,3694,2904,1498,1178
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1597,388,10,39,12
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
37824,1048,97,169,59
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
15651,3508,146,474,117
325017,29373,594,3606,701
751608,4257,159,569,104
3314312,19848,141,2682,385
639714,48622,1753,7192,2392
3273978,52609,1387,9911,1950
9237301,3297,70,1281,50
9048448,10828,173,3513,511
5551463,46672,1254,16899,785
3830300,32998,1660,14422,1849
3841488,45581,2183,16088,2639
2121633,122099,4742,15241,5677
3366773,90057,4099,19873,4775
4809256,66676,3071,17987,4812
2869709,97114,2732,19583,2700
5338968,46674,1310,32217,1301
7538572,44116,1192,25003,1552
9908064,9410,112,835,20
8451241,53,19,559,99
4899143,73947,1569,28131,1046
6003475,56403,956,23549,583
5741619,114174,1152,26676,1257
6520345,117557,676,26626,1062
8862038,32992,161,26511,352
8538070,35250,478,26342,322
6644107,111090,467,26211,891
6865091,108321,419,26381,1219
6494155,95523,455,31273,899
8226613,79724,121,26491,1083
7355612,102311,437,22176,1407
6671693,84502,662,23035,722
7599290,18660,399,21972,162
8153780,23872,584,26797,339
7206575,41722,2029,25907,1098
8523841,2345,442,22002,54
7634285,8088,401,25733,183
6222628,8018,1028,35589,249
7071272,37026,970,15469,865
7188647,42930,1148,22688,1104
5752335,65251,2118,24313,2730
3801676,95798,6751,30500,6175
7502272,34851,2330,24491,2097
6545014,51427,3515,19240,3127
6055254,13998,1413,34307,291
8296003,34045,1191,21576,706
6488614,52499,2091,22903,2056
3725848,173524,3031,28130,4535
5250313,115846,2923,30146,2920
6328323,53917,1566,32072,1491
9376009,37433,786,14043,780
8655849,233,25,57,33
7073368,25132,1013,9635,411
5292085,77898,1516,28919,933
6052941,80608,1358,25040,1081
6757317,112681,677,28452,1010
7889461,76039,319,26522,827
8167987,48590,490,29171,377
8632933,76100,298,28441,744
6820577,115029,554,24162,1128
6553229,109801,518,31477,1198
8154254,70783,131,26614,665
7734545,89342,332,23900,1137
6797729,115506,494,23745,1178
7104775,13098,508,20787,132
7961127,19526,297,25683,153
8181557,50397,1380,23542,1100
7512075,5349,969,22659,44
7858417,5066,337,27423,281
6564225,5481,727,37859,179
7312543,39968,1370,18799,889
7565325,39540,943,18828,956
7033260,82663,2912,32199,3953
2563123,136475,9519,27563,11256
6118545,49577,2400,35203,1886
7343514,33916,2801,17182,2900
6767466,41828,2455,24000,1671
6596064,24229,1400,34797,705
8124828,42750,1471,21425,1693
4579082,84354,3348,23110,3633
2509467,145174,4237,22649,4723
2848140,100328,5004,18475,5144
2711477,123408,2526,22739,3031
2029262,111578,6550,17991,7005
3278979,117446,6323,19106,6671
2182534,125269,7756,23227,9936
2605378,128900,5348,27035,5333
3967209,106096,2507,36254,1645
3447183,142668,2384,27046,2635
3996699,169338,4652,26195,5330
10666875,67039,389,8237,662
14778049,1386,307,1526,536
3023275,147685,4788,23210,3888
8649899,26112,745,11932,1467
7140752,118030,1457,15747,3990
3720056,154643,6489,21385,7461
3986902,108761,3405,23480,3786
4578282,142548,3903,40091,3976
8424427,42830,1066,24860,946
6710777,43332,980,17015,1030
8694314,179,28,76,46
7760285,13981,790,5125,358
4817489,89411,1346,29929,947
6248173,72796,948,24118,865
6674466,110033,828,27558,1184
7557982,101673,488,33124,948
9899763,43268,508,29788,393
8991138,89707,408,29087,826
6957314,111508,505,23366,1107
6116349,111183,690,31881,1136
8445128,66495,91,26478,811
7453546,92056,406,23579,1457
6651245,112021,607,23277,1154
7369910,21928,586,27294,159
9933625,11261,207,22454,200
6496254,50831,1504,21701,965
7408057,3011,810,23170,34
7769370,6573,400,26647,160
6535201,4026,691,36485,133
6971372,42327,1389,18556,1043
7609066,39366,988,19269,879
6797487,89308,2756,33377,3342
5241643,64428,5623,26792,4643
6905332,34639,2390,23392,2023
6570548,49865,3508,20271,3232
6599500,10207,1369,34839,182
8142455,49855,1434,21525,1406
6311496,40487,1891,22591,1817
