instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
14529640,3077,124,11617,171
11785716,80149,2682,13994,3464
1254427,518,23,354,14
10094927,1389,97,8321,2409
8196549,49446,938,20742,1694
11869112,5712,43,5796,207
11555090,346,30,5900,53
7781577,101510,3098,13313,4049
6472586,141504,3369,18164,4758
2620002,167748,3118,17032,3845
2632485,75309,4260,16102,3902
1055814,3073,706,1147,299
31433,5806,288,876,266
30458,5767,482,1595,899
2324871,151849,6074,20416,6657
1730439,91017,525,4293,1074
1063081,52652,3797,6757,3146
612296,43271,3125,5420,2412
1569286,78679,8247,9854,9360
1244454,60633,8119,13867,6630
788289,64524,6542,14370,6537
2311658,69794,8116,24220,7905
2633331,99099,13468,24393,12467
2295651,85952,11348,39366,10013
2455975,130607,12372,21418,12601
2307674,109982,4555,16872,6722
793175,78970,4562,9842,6709
345400,39390,2435,5255,2615
1099361,86296,6129,13568,8253
631656,46797,5296,10578,6040
928978,76689,6702,13225,5895
2880821,85278,5463,11235,6391
13437473,2343,292,2395,1123
9801657,57467,5842,13654,6174
2541905,140380,9580,24965,11313
2342979,103652,14727,22509,13903
3342104,90344,12496,33747,12151
2831124,107826,14306,23730,13039
3241880,95967,11999,20963,12237
2596440,118044,16935,19786,16049
11121296,34088,2247,5541,2266
13613812,15922,1773,5111,3005
2460970,111725,17338,18461,15051
5356183,45490,6738,16218,8054
10781896,22216,2018,9930,2512
2223278,140216,12609,19992,13266
9574161,78152,983,10182,923
14673362,736,68,1429,1473
3510398,157502,6942,29724,9379
1395065,63984,3199,8363,3150
1775445,5842,374,2254,427
18557673,501,44,3288,55
16513983,7492,1069,5232,1522
11944513,4310,37,6080,15
11764595,3534,85,7540,1335
6132705,16042,1144,6186,1655
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1167814,56220,1945,35051,2196
2421898,123361,4890,22481,5746
1753771,100289,12073,21423,10905
2435964,133985,16129,18280,14481
2443678,142812,18468,16841,16311
2294341,124877,15666,13305,14077
2158614,112961,15315,11482,13485
1929488,123176,15460,13232,14402
2252186,131324,17310,14655,16061
2339971,114918,10475,15278,13935
1482021,47219,4989,12520,3404
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1630,474,29,71,26
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
69699,1847,151,464,108
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
134,35,11,113,60
344183,20619,945,4760,645
330545,14875,900,2077,1050
776066,12584,734,10522,685
687464,22709,1156,5126,1334
2387277,13227,644,5769,579
2080030,6881,336,2306,403
1533760,11996,701,3347,829
568294,19754,1099,3280,1169
2045512,30015,1295,7123,1514
4264469,83167,3671,26396,2809
2416375,93664,3927,18820,3352
4169383,62690,2462,15549,1693
5172669,65258,1873,19719,1320
7727385,17148,29,9197,67
7233082,62608,605,26880,547
7642841,83945,270,27080,649
8557418,43138,138,26692,395
6844675,46568,1325,21957,922
5441142,98574,1430,24771,1250
3476321,90591,2741,19568,1734
4846716,88610,2020,23175,1468
5151195,36007,1634,19757,753
5889132,13113,1231,28422,284
6969025,47920,1230,22595,1042
6358307,60723,1839,25720,2110
3810952,150002,4778,16935,6307
5337848,50245,2745,26930,1952
2415172,53115,2701,10505,2198
7156259,49389,1347,21886,1203
4848414,84111,2325,21629,2532
1892329,137649,5570,18041,6655
6910040,40794,1913,17696,1300
13735614,4974,78,1947,120
9653071,50228,1411,16282,1117
573850,51701,2767,6973,2644
970835,54028,2429,6846,2166
818184,64814,3589,10479,2827
5426997,56888,2058,25075,2116
4510627,163898,2799,25707,3777
3959461,192617,5280,22871,5770
6090987,59869,3307,34787,2787
7189754,66226,2912,22390,2547
7087593,26176,2040,30956,858
3003790,34229,1352,7793,929
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
145330,12884,418,2446,363
10589115,30898,1016,4249,947
3252497,114103,2331,23135,2908
1138229,57401,1060,8985,1291
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
365042,5829,3392,2387,1379
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1627,369,29,43,27
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
37824,999,120,177,80
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20218,4687,208,569,220
320448,28640,530,3559,600
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4140,814,68,102,51
2349829,3652,212,462,152
2016985,44057,1217,7134,1761
761376,58725,1957,7744,2383
988662,36388,984,7942,1356
4294164,2463,102,1231,65
4931675,22,0,89,4
10871849,7604,93,3447,507
7261457,57855,1636,21805,1365
5969465,53687,2651,22941,2937
2917072,168904,7024,22337,8543
6785938,73928,4006,25429,5276
4146105,132351,3416,28426,3797
5578049,53169,1415,33260,1515
8600886,40467,1087,20038,1263
7900260,5169,70,623,23
8284679,314,16,41,53
5171984,74415,1714,29593,1176
6451492,64947,1098,24820,643
6167494,136957,1158,32220,1488
8656207,101458,488,33744,969
10078426,47792,529,33384,397
9745592,106333,364,29795,844
7399441,102053,475,24755,1189
6317988,107106,508,31879,897
8311616,76827,110,26117,821
7535208,112325,518,27165,1812
7390527,80748,1494,25439,1023
8552563,22699,472,29122,240
9625597,52627,1271,29594,982
9693330,7582,1171,28059,151
9585156,8790,490,32188,199
8088016,10888,1176,36544,483
7487106,34079,891,14964,644
7210118,45282,1059,23759,1141
5181894,85988,2976,27086,3946
4535568,74051,5944,27100,5084
7030860,36767,2361,24482,1999
6394938,50719,3625,19216,3240
6315341,12777,1499,34647,211
8370768,42892,1093,22025,1109
6537139,44970,1955,23342,1783
1490113,63994,1511,9836,1497
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
796403,65911,3061,13817,4520
2898851,174599,4882,26807,7999
5336627,99051,2981,34037,2802
7313189,40434,1132,24954,1047
7363223,37057,823,14354,834
7129509,258,26,65,32
7841792,6540,493,2566,266
3818626,65780,1025,26600,961
5194899,53595,905,22710,472
5613890,96756,856,23364,1034
5521066,98907,578,21394,941
6757662,55520,218,24851,457
7531482,33047,430,20276,341
7031272,57690,200,28972,610
7887706,143690,614,29551,1223
7979173,111430,665,31530,1040
8429015,83276,146,30354,1127
8682601,136235,506,30427,1392
8461835,55778,741,22056,420
7783235,20275,368,22811,232
7948411,24384,619,23788,399
6994114,35986,1472,26676,642
10130039,3655,541,28488,98
7400721,8265,601,32828,270
7187272,33430,1380,30681,883
8098867,36571,712,14469,521
6020035,43391,2325,24846,2965
4111785,106991,5737,23516,5079
3093285,152122,8067,25356,9039
2724091,183576,9634,33321,11650
4528450,113807,3076,38076,2601
3646606,140595,2450,29846,2247
3666162,144176,3838,23319,4467
8310041,97721,1650,12828,1400
17302644,51143,1634,9426,1580
4734330,122503,4784,23642,3653
12170061,3345,34,8070,2073
3879406,214382,5656,25146,7852
5690680,156596,6015,29338,6766
3395852,154327,5095,27514,5292
3574174,212232,5060,27160,6089
6441557,54977,1426,32144,1379
7849804,24106,820,23843,727
7426421,31999,533,7661,399
8604469,229,28,29,22
6244979,38473,1174,17897,644
5776712,83911,1345,29018,757
6103730,101666,1073,28074,1195
6772590,125829,651,27315,1268
8614606,44541,230,26783,409
8094962,34861,477,25437,365
7384276,107044,440,30001,861
7166582,100216,465,23696,1204
6370324,108597,610,33017,963
8467609,77444,123,26302,946
7540718,95464,445,23660,1314
6746098,92028,628,24307,791
7506864,20297,564,24614,217
9048727,18870,203,22254,195
6849441,44061,1890,29065,878
9590040,2624,523,32108,74
9595504,9376,910,44714,231
8562241,41547,1463,22054,1118
9379885,52473,1286,30064,1535
6498710,107285,7399,25679,7253
5733675,55996,2809,33797,2044
7498599,32803,2800,18799,2749
6909751,40811,2502,25526,1652
6800446,23535,1352,33492,700
7949925,52182,1890,27038,1907
5000498,92210,2885,23901,2866
2546934,138937,6636,26680,7008
3427521,111373,5987,23541,5367
3840042,92138,3362,33269,2331
1264192,86984,3456,12947,2963
3159420,137500,3999,22245,4128
3529624,174759,3834,36327,3802
3722744,189712,5439,29372,6028
10224065,4317,84,5259,700
9223294,4598,491,6101,1064
4847995,128766,4416,25375,3949
3761158,138812,2435,34678,2316
4898049,81603,1028,43555,828
7617380,12264,207,54500,220
8721943,2011,24,50461,26
7751252,15307,485,13162,481
7134652,58468,4362,17028,4700
5021423,87899,4920,27785,4255
5816199,51620,3567,24066,3107
6313578,62974,3109,26633,1959
