instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
13519442,6481,165,9432,738
9822214,92502,2916,15365,4461
10314373,28952,784,12415,1000
10053684,10556,46,6343,59
11923007,5678,37,6039,79
9099477,52310,2435,10940,3291
8788179,95844,1854,11389,3082
2546419,177279,3972,19576,5296
3069368,101805,3747,17124,4112
1882319,60788,2796,9469,2420
311258,245,54,260,34
0,0,0,0,0
31434,6163,286,863,225
1510,489,26,104,36
1611485,111686,5931,18814,6746
2474144,134678,1087,6602,1490
539280,46330,3314,6114,3122
1088455,44271,2935,5180,2174
888266,46909,4420,5436,4749
1315162,82787,9433,12509,8803
933195,56669,6672,13076,6928
973674,44148,4154,15301,3975
2177990,68299,8497,22884,8347
2466201,102702,14072,22448,12816
2429433,97347,11197,40241,9863
2845859,111413,11118,20397,12128
1759453,115684,4797,16527,7019
857246,84002,4526,10447,5980
842112,69860,6064,11680,7379
1118447,84371,7092,15089,6343
789947,72396,5643,12302,5986
2276853,83752,5296,9983,6004
8084113,25368,1329,5335,1772
14578410,1643,751,2774,2453
2982141,153666,9094,28144,9070
2075680,110789,14043,20393,14473
3040168,83633,14185,30392,13706
3129692,98872,14354,26716,13074
2799356,115920,12926,25612,12483
3380553,90051,16104,16337,14680
6993655,89803,6924,14614,7774
17510217,458,361,1366,1806
3318792,125823,15865,21620,14817
4283549,48611,10061,16250,9924
11922185,9031,913,8217,1478
2228193,136194,12547,17545,12762
6887576,94629,2349,14133,2263
17526045,712,75,1407,1540
3602338,179633,9027,32822,11673
1187296,35963,953,4171,619
0,0,0,0,0
0,0,0,0,0
2660640,5706,382,2814,463
17768778,705,51,5048,55
14774755,11126,1146,7774,1937
13705512,1388,28,5268,69
10335606,3303,76,7171,178
7573588,16002,1155,5804,1748
0,0,0,0,0
51118,5420,395,707,560
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1605327,26448,1319,12911,894
3688729,50419,1450,21153,1541
2314099,99354,1275,38560,1297
1139816,91887,9184,19350,10218
2122871,93801,13992,17154,11506
1956224,98952,11188,13431,10306
2136933,150780,20429,18732,18109
2717650,125360,16174,13086,15081
2124930,129455,16700,14307,15026
2320084,119694,15757,12853,14428
2162352,117998,15916,12383,14751
2049739,117481,8527,15511,11441
897880,16785,2259,8714,1569
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
69957,1620,142,362,123
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,10,1,8
1049,197,14,32,18
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,44,3,122,41
196110,14244,617,2561,560
605744,19506,1129,4210,875
528955,16256,1000,5891,1132
933698,11971,612,8056,780
1197000,19470,1080,5782,1004
1962434,13121,626,3654,684
2694005,22665,1354,6273,1694
3940997,62566,3548,13636,2866
3250946,51274,1114,19452,1249
1980317,86212,4081,16486,3554
4030274,62979,2700,16527,2010
4889632,73852,2171,19024,1182
7987802,19858,126,12118,147
8049488,62633,621,27011,547
7593149,101913,294,34859,829
11025546,25409,101,26902,289
5656562,80192,1730,19361,1740
5353737,90390,1592,24902,1192
3032171,114209,3013,21646,1961
6371503,59359,1442,20437,1023
4517750,29999,1716,24929,613
5493603,28002,1544,29707,651
7330455,48438,994,20299,942
5894530,71404,2302,24290,3169
4618163,134018,5022,27616,5408
3660868,67231,3374,13586,2822
3977337,42282,2139,18575,1693
5994537,49973,1908,19789,1510
4366906,82216,2042,18513,1943
1796434,146529,5970,29791,6876
8824391,34426,1518,7280,1015
16303694,38065,1081,12321,868
5224738,14374,337,5000,234
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
239569,36358,1850,5828,1841
1413007,74240,3516,11191,2957
672032,70959,3886,9610,3567
6127659,45811,1623,21420,1481
3214893,109216,2799,21175,3697
3085744,125516,2285,24345,2905
2473521,125425,1487,17871,2120
3172193,150580,3722,16844,4944
4502676,51557,2603,23691,1798
4831315,39683,2890,21806,2154
3837477,44552,3964,11644,2318
4916719,36676,2992,17008,1856
5080088,38174,2296,28461,1248
8475304,13245,975,1711,509
4841665,145787,2828,23450,3794
2142000,116087,7079,20342,7059
3344853,139314,2546,26289,4146
3681994,205267,9262,26339,13780
792241,15189,1080,1523,863
0,0,0,0,0
0,0,0,0,0
585,1010,119,377,196
2253095,103270,2078,16950,1774
3502982,116674,1570,15023,2109
2914531,110148,1568,17319,1672
2648273,187453,1430,17168,1929
2743291,70825,1547,13595,1402
2225734,26655,1042,5531,1049
700696,35086,2291,3588,1642
816989,34437,2261,2404,1399
2864985,58499,1772,9185,2979
1224230,22039,485,3569,700
0,0,0,0,0
0,1357,121,227,80
38187,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
134,538,23,76,23
808,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5386,9713,466,2784,573
329967,24750,316,3010,353
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
291,1940,128,699,148
336160,45754,2333,8987,3108
1127290,67533,2861,7603,3166
1075502,62060,2977,8119,3464
1837844,29648,1414,7156,1636
2005400,19760,933,7952,1328
2888597,8672,1138,7654,1692
3919,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
178460,15107,948,2569,1116
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
67105,7131,530,1043,631
361914,30272,2100,5415,2901
663090,40641,2114,7740,3273
244451,16266,1404,2890,1830
0,0,0,0,6
1298256,18496,1287,2771,1272
3739222,96012,2903,14133,3941
5903593,25536,319,6136,501
9322368,1792,4,971,48
6414019,23589,756,7784,725
5392199,34623,645,13475,536
4700385,20069,894,13395,842
2911924,67752,2126,17436,3013
2280413,68974,5452,14896,4208
2701299,111055,5081,14438,5789
2627196,134354,8250,23943,10229
2661784,136137,5326,27773,5538
4020801,102972,2402,36983,1465
3633652,152573,2523,27860,2858
3445810,147892,4493,22487,4555
11626081,39274,145,4730,562
13334268,24029,642,6132,968
3195531,139727,5178,22350,3411
10263231,10802,221,8549,291
6239450,132978,2641,17547,4125
5194899,139002,5998,21601,6673
3018557,154468,4456,26007,5089
5260264,86009,2582,32116,2136
6526420,42222,1266,23985,1048
7025559,43012,1160,17612,922
10445210,422,20,71,41
6860583,29487,1151,12407,548
5680385,82074,1253,30005,841
6219792,109455,1170,31898,1270
7758553,134762,705,31225,1312
10256621,38510,394,32001,437
9963979,61739,330,28319,661
7124462,142282,603,32299,1145
7964088,137313,644,37159,1344
9824566,87919,163,34088,1410
9189264,103839,578,22024,1350
6584704,79971,732,22506,657
7473406,18853,337,22015,158
8222537,14088,234,23375,194
6532869,47625,1523,22270,932
7366064,3130,760,24759,60
8143464,8374,432,26147,181
6522553,2499,658,35447,150
7075483,41644,1330,17824,933
7663868,47531,1156,27702,1289
7251313,96119,3782,27436,4736
5042711,70229,5762,37921,4027
8456633,48104,3746,21625,3700
7897090,27796,1954,38401,835
9327186,52343,1879,28471,1436
8013199,51819,1928,24096,1976
3496862,192025,2421,25755,4104
2471255,153312,5859,27955,6402
5701437,70786,2250,30827,1794
6895042,39333,1089,24948,802
7370526,36004,770,13673,732
8704594,207,28,52,41
8675566,39858,1115,20327,664
5722530,79012,1347,26780,689
6270406,131981,1134,33132,1471
8800813,102680,546,27468,1022
8722216,43819,458,30000,497
9724016,74433,296,33342,670
7631049,120890,491,25819,1068
7064180,115641,509,32025,1303
8258698,76814,149,27659,788
7956230,88942,331,24049,1459
6694536,118256,481,23269,1082
7517010,13793,498,22610,137
8262409,17510,258,22091,175
6324563,51600,1578,24382,1267
8077425,7275,1115,21058,164
7987766,8870,518,34752,214
8973486,19167,1355,43721,639
9247595,44243,944,20150,808
9285543,41485,1100,26448,1428
3735099,157183,7016,35382,7005
4459313,125593,3898,39141,2803
3161840,151550,6766,25508,6595
4544874,163249,4217,26214,4323
3985299,190314,4347,38669,3994
3785297,136590,4467,21744,5579
7983023,18525,91,6568,381
9001704,4277,64,4601,382
5210909,96266,3913,22797,3842
4153322,114900,2253,35737,2047
5493305,59484,1067,45591,848
5602539,67410,954,40246,1008
7437461,4211,49,48880,9
7702373,1825,15,48937,34
8199443,16695,495,5433,497
7495857,50877,2169,15277,2660
5294972,126038,2997,32433,3135
6021401,49280,1550,26755,1454
7336410,43958,1207,20407,1235
8356788,2498,116,171,101
8489857,13774,1164,5129,608
5755070,98428,1941,37190,1287
7704671,115141,1547,32793,1319
8106362,135907,1335,32458,1427
10700791,44713,1031,30584,636
9735937,53404,621,25854,782
6443264,134266,1157,30881,1211
7555643,129642,1265,35470,1749
8872088,67608,584,26150,812
7570457,86828,697,22513,1359
6337679,125596,1227,23803,1487
6745228,26005,946,20249,407
7459998,19090,880,22788,264
7072307,32784,1630,23174,917
7236984,28041,1289,21912,427
7557562,5130,1104,24520,217
7607914,10707,1191,35973,358
7545559,30653,1462,31191,878
7900184,27664,1046,14064,810
7224062,43675,1504,25160,1661
4032072,110505,7021,25236,6615
5844306,48534,2709,34044,2128
7180153,36079,3020,17453,2811
6859657,43336,2570,24583,1813
6281881,28824,2200,37163,866
9333564,58055,2415,27451,2433
5232411,151551,6791,26481,6545
6054303,49884,2823,31064,2528
5884331,73113,3523,26129,2971
7554781,25448,3018,31932,976
3547178,62160,4127,11170,2350
7825697,15070,1453,1175,866
11251107,25560,628,3524,688
419307,653,87,336,37
7348,821,70,95,71
0,0,0,0,0
4036,615,70,52,73
6593,471,58,41,53
134,37,4,1,6
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
15041,1661,206,144,229
18927,1574,210,129,210
4027,541,71,44,73
980,550,71,55,72
7309,179,12,14,18
5742,742,138,114,86
828,158,12,15,72
7754,640,86,56,32
3226,407,81,36,78
3628,367,90,48,57
7329,555,83,45,93
3219,415,62,41,73
9591,623,124,53,89
830,169,13,15,21
3217,423,59,30,67
7434,592,74,50,72
37672,1214,178,162,148
4047,161,12,14,19
6501,418,59,32,82
4047,595,71,43,58
830,160,12,13,19
6510,404,59,30,60
828,185,14,15,21
4056,575,69,41,78
6501,416,59,29,64
830,164,13,14,20
363369,31635,906,3733,845
2794571,4649,371,599,261
3427833,7318,450,724,490
1606702,67267,1694,10044,2728
912043,38031,1665,26658,1624
4113162,8481,1134,74503,330
4220301,24231,9012,51535,857
4068532,8687,2464,1438,436
16164886,444,57,29,21
12259162,755,81,65,73
12394222,550,63,32,70
11253058,7390,265,3883,373
11814332,2643,247,1038,181
7941070,35545,1820,14475,1516
6848305,48460,1692,23791,1679
3818728,127583,5194,22399,5611
5613230,59566,3412,36430,2700
7862671,52753,2455,21957,1928
5990372,26515,1976,29682,754
3450927,36182,2804,14284,1359
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1971632,8893,982,1064,761
12815611,2085,177,98,169
2680409,25660,811,3636,867
3219,716,59,71,57
7338,617,73,63,63
3663,470,90,70,56
3217,617,82,48,89
11957,862,72,190,78
3614,472,103,76,130
4056,567,70,15,21
6522,403,66,65,117
6928,767,161,34,68
830,167,13,13,19
427196,31808,1722,5597,1610
1717782,23999,1814,6893,1799
944265,53138,2292,10970,2538
1317502,117130,3458,16194,4501
1279726,38089,9608,4020,820
452437,9510,476,1317,347
91947,9606,448,1148,342
599612,16703,1046,1704,589
2064670,27617,2082,2058,681
2082613,25592,1830,2275,568
5003447,1491,1310,3981,477
5049272,1261,134,1245,189
5196265,609,56,3027,122
8995162,342,23,5411,299
7633338,434,17,5942,143
7681920,308,16,5880,250
7004238,17032,547,9519,1374
5870879,94118,4439,14695,4756
6141339,74960,1163,12341,1528
9076719,5053,183,6079,1573
6661528,27259,1675,6681,1685
6501,984,79,117,75
4047,484,59,36,56
830,192,13,13,15
6632,471,61,378,166
19092,4262,154,393,102
837,165,13,19,15
338441,30107,654,3691,759
3913,601,60,46,54
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
27303,2759,335,292,343
11503,1171,142,99,144
6501,946,151,97,110
6882,392,71,34,66
830,170,13,16,74
7364,642,71,44,15
12538,1415,168,215,138
828,212,31,53,72
7359,640,57,12,17
3595,814,149,90,125
10235,447,71,41,74
828,215,71,46,81
4047,496,13,13,19
42756,915,132,142,104
830,589,73,47,83
4027,150,12,15,22
7337,582,70,45,83
3199,391,58,29,61
828,154,14,43,81
7311,597,69,14,21
3197,556,71,48,88
7540,450,63,40,61
828,162,13,14,20
3360,564,72,44,81
7188,406,61,30,61
830,161,13,14,20
3217,432,73,44,81
11766,1878,55,225,70
2137292,4684,291,591,214
3960947,1239,158,530,254
722950,44552,1017,6411,1443
745970,61749,2280,11928,2854
2817166,19878,505,4388,663
3799262,4652,270,1573,226
4359782,1740,85,887,108
4469807,1684,253,443,183
8162225,7063,302,3111,607
7030777,58150,2149,20726,1585
6343876,44222,1794,23026,2117
3156215,168840,4363,26643,4924
595837,17707,599,2505,191
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1317139,15441,1229,10203,956
3986675,42177,2311,19415,1880
1394285,44036,2598,9158,2287
4067648,62836,2666,14626,2194
4352182,45266,1111,22361,568
