instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
13110068,3393,312,10039,703
9739385,60800,2727,11295,3622
10111011,21634,177,8811,1354
10134107,29397,674,8260,996
11636663,5971,32,7203,1734
11356098,1460,24,5845,19
7421066,104453,3281,15306,4065
6533645,143022,3253,16701,4685
2551702,158862,2925,17311,4366
2618895,81624,4411,17205,3924
1218451,371,361,628,81
0,0,0,0,0
31442,6221,275,853,229
0,0,0,0,0
520772,42601,2742,10450,3216
3088610,186023,4349,14679,5069
581264,34723,1239,3515,1391
1095348,51264,3912,6373,3182
826785,50544,3195,5506,2588
1414717,79231,8986,9999,9329
838716,51383,5689,9430,5478
1003386,55282,6703,13431,6510
2730172,73916,9716,30668,9496
2449679,102743,14181,22052,13177
2518465,97838,10951,41002,9629
2980419,116687,10860,21502,12429
1447008,111042,4372,14073,5925
830573,91200,5203,12885,8317
964532,76675,5999,12169,6394
1132706,82049,6680,13551,6120
921391,86716,6432,13948,6844
2094613,69714,4533,8472,5180
11844926,13996,645,4085,1350
11654903,35479,3778,8884,4555
2617223,144744,9481,26254,10836
2435723,98740,14068,23051,14135
3239091,93496,13549,32376,13546
2871523,109572,14091,23281,13370
3018112,100488,11852,23032,11512
2809381,105065,16413,19590,15947
9410815,58554,4261,8413,4764
14569580,480,362,1247,1550
3271329,120489,14111,21604,13882
3890082,50844,11333,15709,11147
11749283,1349,32,8769,2659
2741841,137387,12646,18114,12952
5584304,101560,2876,15074,2853
14212299,1241,66,990,53
7407168,95607,4737,18888,6853
2251351,123007,5479,18679,5936
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4425,1968,180,779,184
14094024,10327,469,3759,403
20869425,2572,665,3351,1401
10678050,9210,414,7696,847
12093840,2935,54,7271,183
9571955,46776,1874,36156,2699
2689368,149560,6945,28388,7812
2073694,83442,9465,16959,8196
1852307,97174,11550,14899,10203
2030764,137835,17780,16497,15860
2293413,138085,16943,17335,15677
2453632,121712,15298,13688,13793
2481271,138696,19374,15473,18388
2615451,137739,18365,14725,16303
2365447,137583,13060,16842,15868
1117343,25007,3076,9919,2045
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1621,487,27,79,27
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
69592,1823,151,469,115
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
134,33,3,0,5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,17,47,135,60
344090,19867,877,4787,753
373293,19545,1193,4706,1160
1233726,14800,730,10545,869
708756,15709,852,2521,1020
1943059,18740,960,6271,897
4091458,38871,2580,9229,2766
2585136,40768,1930,9533,2085
3527098,48952,1321,20895,755
1323781,62041,2906,10203,2893
3507237,62030,1668,16448,1243
2707284,48047,2649,13085,1678
4697183,50071,1285,14891,1035
6336894,11495,4,5629,13
5205467,65927,643,23944,628
9235940,84799,323,31635,791
10064121,44318,195,27406,363
6858647,70450,1711,25579,1693
6556803,100580,1972,24370,1674
3185967,122066,3059,19830,2008
5909412,54722,1390,20019,1102
4593604,29296,1776,25514,587
5485718,32011,1686,30584,806
7575427,46861,953,19620,932
6048501,43371,1694,21132,1898
3611335,145332,4580,23606,5524
4187207,56434,2848,21154,2132
4323227,55685,2834,17953,2157
6993540,45301,2176,26591,1290
3762700,102161,2573,13683,3670
2181900,131754,5446,27667,5919
10356534,17448,631,4430,367
13435944,12313,250,3591,582
5660029,55610,2046,15940,1479
1322564,72187,3851,8550,3079
704136,80242,3764,9003,3634
5357780,48801,2119,21959,1869
3737601,144132,3132,29536,3818
4861016,219430,4510,24744,5762
5527015,63913,3408,33163,2486
6423092,59084,3135,20679,2634
7193207,44888,2375,29804,1339
4541584,34859,1739,14887,1101
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1267568,16845,995,2327,652
9963859,53734,1221,10430,1603
3496087,115275,2144,22471,2808
543077,31736,1938,4937,1024
205803,3243,1982,1064,781
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1597,398,11,43,11
