instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
2487136,119987,13207,43346,11597
2916259,137663,9684,25708,10267
3805601,98090,2283,31817,1656
3043042,121623,2355,24538,2090
3449879,102562,4085,19029,7825
2627552,118123,5231,16739,7319
1970764,101704,11765,22799,12500
8266038,40344,2908,6146,3100
13641349,522,339,1266,1307
4603140,103241,10162,21081,11048
10774363,50575,207,5536,563
14038800,12116,417,3261,671
3360280,106994,8227,19280,8077
2758577,167884,5787,24480,4559
4630910,106996,2398,22463,2706
12068107,4291,171,9342,132
6730798,32774,1538,13872,1476
6693860,56389,1369,20457,1596
12496440,6538,92,7736,223
12250406,16363,700,8929,1726
8833164,67097,2098,14433,3667
10450144,27444,575,9484,2301
12188169,5309,33,7774,2006
11605051,504,31,8107,2316
8224680,97324,3033,12763,3850
6494808,139643,3435,16272,5357
2486986,160783,3368,16712,4506
7288862,87758,1652,13518,1564
14449323,741,58,402,79
5572000,112701,5891,22446,8251
2226651,104358,4263,15922,4622
782359,6565,483,1345,382
0,0,0,0,0
79300,13162,811,1728,741
0,0,0,0,0
202725,31216,2257,4123,2137
213975,33308,2406,3611,2141
371920,35444,1581,5332,1611
278525,32850,2449,3172,2093
234259,33380,2404,3265,2158
635879,62034,3704,11183,4359
1131666,81788,3499,9222,3128
261819,35181,2222,3582,1939
206250,29813,2126,2833,1916
329652,32149,1286,3535,1112
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
29738,4790,364,473,671
248069,34413,2617,3439,2101
208327,29546,2116,2645,1930
1551263,96460,3747,15906,3909
2610460,76639,10667,19976,10829
2626487,53840,9141,24240,8268
2154134,82974,11523,20647,11239
2279032,105662,11411,24444,11227
3279864,64281,8655,12966,8470
1621663,80056,12864,13617,12318
5695462,51979,3986,7531,4363
10174527,806,162,1178,840
9141567,13603,1350,2819,2061
2422279,110172,14818,19565,14331
5557185,41426,8803,16145,9540
9624574,76323,4732,14949,8125
1846463,61559,7460,9050,5957
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
