instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
1872469,63119,7520,7207,9394
1933576,108954,5065,23465,4105
3156782,88168,2146,25519,1918
1997049,89246,1964,16427,2278
1946673,106125,2103,19008,1807
1656067,51067,2567,8425,2540
1744416,82467,2701,10667,3293
1503296,110322,2189,13939,2960
11374882,12481,134,3375,268
12582923,2344,417,1620,1054
1656623,81090,3392,13322,2692
1836154,114322,4751,16921,3999
2262939,154727,3571,21894,4307
6898109,39322,536,13174,1092
12192599,2036,88,7804,85
11241345,32077,573,9119,858
12001122,2757,112,8358,299
7585642,85447,2749,13557,3553
11872506,2285,221,6246,252
10691887,27294,303,8097,766
12194626,5350,49,6584,918
10782404,31011,1171,10336,3250
8628011,82541,2231,9362,2680
992689,59496,2017,6610,2468
1397315,113074,2455,13144,2972
2812180,128362,2978,13788,4341
2102109,138554,3129,15208,4183
813132,77052,3528,9380,3264
777997,47198,2469,3955,1706
0,0,0,0,0
536841,35466,2309,3395,1366
1920469,42937,1315,5976,896
0,0,0,0,0
2272270,43276,1802,14358,904
2075908,77121,2417,9424,1365
2218195,59692,2068,17053,1341
4989770,49688,1644,10485,1170
2955737,67847,2338,10344,1337
1269645,61221,3259,8062,2764
4518053,48844,1472,6160,1309
810,0,0,0,0
4487759,11471,734,1457,607
4108343,13401,965,1784,842
0,0,0,0,0
5794916,18859,714,3010,729
2319855,79820,2222,16286,1287
2658755,93377,2699,15302,1337
3114130,59506,2417,12794,918
1228368,22839,1107,3034,340
503331,11938,342,3793,202
4788246,102554,2069,23017,1602
5344941,111263,1767,20510,1198
6755880,92005,649,31787,1055
9399242,51015,813,24074,435
8042262,59284,257,29088,564
3507170,92847,2376,15993,1757
4028422,97087,2278,18982,1865
1147747,27565,606,3846,532
1975399,45565,785,13577,719
6622322,99718,767,29954,927
7875053,78115,176,25050,1012
7087846,105521,824,24587,1729
6449810,99272,932,20296,980
0,0,0,0,0
1815165,21122,1881,7290,912
3290453,38524,2729,11901,2059
2370007,41342,3098,10310,2203
2089583,56015,3780,12973,2391
986599,84573,4853,14511,4841
1483432,117653,3929,20221,4365
1777333,66345,3556,10375,2923
2715951,36961,2573,12820,1823
2743695,39421,3278,10725,2169
3973113,42092,2807,14520,1013
