instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
14674870,2447,40,1712,21
9632945,38848,851,8036,858
3679585,101664,8393,18826,8111
2644126,156633,5426,21590,4461
3997705,100045,2175,21260,2490
12050812,1818,97,9338,93
11022940,35670,698,8318,1234
11363736,1848,75,7819,78
11303023,26795,1093,8929,1440
7882172,70927,1808,12674,3643
8968600,28051,479,7993,1470
10601799,1857,43,5353,142
11569368,7267,309,6271,684
8888212,60668,2563,11933,4211
8589125,83562,1381,10141,2781
2604782,180384,4337,18925,6031
2136839,144277,3500,18239,4342
10458518,26673,99,4420,225
13917133,3085,301,1469,517
2673811,149017,6375,27555,8948
1925107,66808,3662,9489,3520
378811,271,94,311,50
29027,5713,270,911,296
725,0,0,0,0
25981,6341,354,986,340
74083,9916,874,1471,861
98493,16486,1195,2207,1266
207343,30661,2068,3640,1993
154466,22545,1682,2148,1453
449374,40373,1823,5436,1644
203783,30074,2408,3195,2237
213775,33040,2094,3018,1829
461792,48084,2989,7672,3408
1240503,89153,3262,11776,3032
189786,29337,2266,3588,2150
170878,25292,1591,2069,1548
377571,38273,1761,3969,1288
140078,20832,1610,2065,1552
106680,14496,916,1482,945
209981,29140,2092,2755,1791
1038858,90532,3670,14108,3999
3376463,86643,10597,21755,10850
3038292,76766,12084,29706,11559
2761330,124559,15913,29108,15468
3919204,98146,12803,20649,12416
2621175,124670,16733,20007,17057
11861034,22002,1469,4820,1417
13331384,45724,4942,9622,5940
2318589,109520,16843,20603,16479
8458978,15620,3550,11189,4500
6998315,99806,7487,14412,9582
933556,37956,5017,6499,3232
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7970968,4897,378,2284,476
17821465,468,44,1917,46
14846244,10437,1076,6044,2346
11892639,3413,74,6647,195
11636399,2119,53,7794,481
3597413,40675,2349,11953,2233
4201490,44326,1401,21903,1772
2380949,118664,1672,43797,1909
1431504,84238,8928,18287,9780
1877306,84567,11836,15153,10362
1707829,97289,11354,14030,9804
1828986,124557,15261,14859,13798
2167125,103322,14095,12503,12830
1846481,107788,13126,12344,11713
2125865,117102,18871,13394,16402
2550025,138338,18911,14607,16710
2442582,141270,12887,16665,16923
2623318,55594,6031,14959,4594
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1600,470,15,83,23
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1272,148,321,120
69592,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8652,2175,105,306,82
249370,16412,854,4094,693
540971,21268,1106,3227,1098
644556,14334,906,9655,850
862755,16926,1003,4940,1296
1961408,14747,704,6289,616
2036876,9893,466,2099,430
2588298,26998,1749,6330,1650
