instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
2905827,101363,16379,43046,12961
2487777,93783,9283,18381,8455
2551229,93578,9279,16373,10059
2842411,107353,3808,16476,5512
3590952,119710,3787,16110,7429
10493583,1253,23,2079,514
11299110,733,48,211,216
2493316,97418,6943,19109,8253
2725343,101324,9794,18195,9440
10150226,1695,160,2304,632
11272914,773,280,1006,1012
4229132,85062,9841,18043,10547
2787970,136942,8637,21791,8067
2703991,154137,6078,23197,5367
8293212,44192,466,14915,601
12402837,2480,183,8400,490
11173464,38220,646,9354,708
9936573,4622,147,8169,243
7927038,82468,2773,13379,3496
11751634,1479,36,6210,263
4981021,45292,1885,24916,1531
9802960,37860,668,9622,807
12115316,5747,40,7083,1346
12037633,8700,274,8821,2680
8733528,93083,2940,11618,3804
2677977,180124,4085,20197,6460
2166640,137283,3938,16834,4808
8907653,70891,449,9144,712
14612879,615,67,209,9
3929118,138542,6255,26261,8485
2052682,78648,3989,12131,4148
488532,6498,377,1287,333
0,0,0,0,0
79423,13096,827,1685,706
0,345,53,311,231
227172,39297,2549,5900,2524
203383,29776,2058,2811,1917
441002,45951,2129,6618,1702
257179,32318,2626,3783,2638
197527,29339,2041,2511,1929
1391636,104741,4391,16820,4621
396571,43875,2753,4716,2430
190889,23394,1789,3059,1641
130484,18095,1185,1701,1060
342093,34496,1571,3678,1411
254482,34011,2536,3456,2291
166994,24609,2017,2831,1942
317753,34387,1895,4363,1878
3129312,125091,7122,23193,7602
2614592,77115,13178,26023,11993
2934128,75004,12273,27652,11584
2576181,117724,12049,24293,11988
3415909,90316,12948,17988,12615
3055904,115095,13954,18307,14112
12735729,1925,154,2616,806
11015738,32444,3446,7541,4177
2263170,107996,16747,19368,15041
6920566,29661,5154,13784,6912
8178782,64457,3970,13051,6555
1618027,74156,8239,10498,7206
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
9983194,4784,343,2769,577
17024193,460,42,1869,51
13637388,10643,1094,6069,2316
11157342,4126,78,6317,105
11242300,918,45,8642,1982
3731669,16098,1135,3478,1573
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51308,5968,396,710,529
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
754841,34070,967,24643,1029
1781209,80404,1115,21109,1046
1125729,65518,5003,13124,5906
995142,48102,4977,9944,5352
1320455,58697,8214,11835,6521
1039885,61118,8366,9436,7033
1273803,74088,8975,9615,7912
1316824,79547,8855,8463,7886
1243227,67107,10509,8336,9050
2178477,125583,17127,13565,15620
2308820,127702,17443,14312,15374
2408176,132749,18518,13947,16486
2286193,131725,15125,14294,14157
3133163,98037,7372,21286,11317
444578,12218,1495,1609,1039
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,7,21
1614,507,15,67,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1044,225,3,28,5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8441,2761,175,531,95
564622,23046,1222,5003,964
586535,17117,1064,6364,1409
949002,18324,915,8670,1089
1540157,16247,854,5881,745
1826482,12541,650,3422,715
3232595,25570,1830,6514,1958
3147734,55868,2689,11078,2420
3323725,59648,1885,22573,1460
1930430,85666,3676,16708,3841
4022550,59825,1808,21098,1114
4247507,62422,2268,16788,951
4919052,36477,1260,11680,974
6652163,35545,453,12610,326
6974147,53086,306,24912,495
7042211,74520,219,27316,696
9292008,42120,141,27214,306
6350062,73020,1580,20941,1234
5710412,93458,1670,23102,1349
2602254,132300,3347,20216,2349
6887236,62864,2167,23578,1391
6264036,23165,1490,35715,499
6860664,50487,1622,26367,1246
8381372,43291,1409,22104,1499
3644289,166407,5126,23120,6266
5662386,49023,2398,23009,1808
0,0,0,0,0
695905,56307,2812,10349,2677
7223947,53503,1544,24523,1327
6349357,79018,1893,19236,2043
1669501,118698,4899,17200,6457
5944975,63517,2226,20288,1835
11286665,12693,573,2236,255
9850716,36392,1055,11631,970
3852376,59350,2540,11300,2424
1231658,35867,5223,8898,2680
790668,82350,4469,9793,3970
5492738,53682,2172,25097,2003
3845980,122298,2631,24943,2973
2267071,112469,1310,16595,1996
0,0,0,0,0
2628237,125910,1060,18889,2215
3290002,166159,5477,20434,5567
5776554,52204,2647,31528,2132
680576,0,0,0,0
0,0,0,0,0
6006,1778,150,258,87
0,0,0,0,0
0,0,0,0,0
29880,5832,290,779,257
0,138,43,266,363
4801147,47200,2666,15705,2111
4524284,45269,1447,17595,1521
4847595,9087,1511,22847,253
2529978,50141,2032,10362,1348
9100378,797,50,29,0
2887687,130676,1341,15577,2658
2246877,85429,2772,18279,2914
1926044,91261,6038,14857,5804
2259502,73718,1715,13403,2042
2156057,108890,3073,20182,4658
3204675,179865,8370,21589,11988
362472,9957,659,1466,622
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
43806,9926,330,2964,479
1628410,80264,1321,8884,1165
2387546,68613,989,13774,1058
1694890,67439,872,8640,1376
1588269,41786,791,7021,931
1717733,79623,733,13122,917
1254610,97508,1020,11769,1441
1964882,106550,663,7315,1169
1662660,44299,1055,9835,907
1892553,24179,506,6925,897
1476889,42348,1693,5667,1388
1211123,38309,1915,3835,1396
934479,31701,1880,3209,1471
2618263,50589,1531,7086,2173
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5238,965,29,165,35
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
239130,28828,1908,6182,2431
1023716,71268,2930,10056,3625
1238981,77189,3638,9357,4193
2505268,30911,1476,10188,1587
2451249,46600,1673,11848,2043
2175150,6758,922,3773,1488
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
145612,14559,859,2265,1061
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
567440,47429,2570,8978,3581
754904,44859,3111,8053,4620
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
342003,28256,2263,5672,3044
997815,50918,2857,7148,2596
1844327,17893,1839,7215,1152
902741,57107,3043,6951,3630
1080497,58592,2017,8056,2221
880500,47816,3317,10830,4103
920397,95423,5031,15703,6673
3529411,141807,5286,37657,4687
4391274,114423,2167,30021,2255
