instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
354325,36493,1448,5006,1726
1233638,84227,2288,7775,4275
2152434,141695,1043,11469,5549
1421727,53075,3783,6023,3874
2033648,76964,7790,13212,8180
2280460,91986,2621,24707,2082
2348078,90622,2192,21711,2304
2014123,105298,1857,16280,2022
1381102,83933,2626,14312,2712
2200216,63226,2026,9402,2201
1269452,75263,2825,9868,3320
5400153,92200,1335,12307,1759
12786482,1932,172,1489,550
8193093,58115,1552,9715,1794
1534908,98142,3600,13975,2977
1642136,115921,4080,16908,4337
2893279,107705,2385,19838,2948
10598347,9063,182,9034,548
9868859,18191,923,6020,834
11654328,27370,342,10131,442
11900048,4611,131,7047,421
7786708,82252,2771,14877,3797
11259940,8196,465,8169,2224
10407223,22929,132,9044,1874
12309485,5314,34,6236,518
8763695,73056,2632,13344,4410
8862343,108044,1428,10712,2964
2176968,75410,2703,7779,3129
1326562,88063,2303,9659,3009
1327093,105637,2476,14193,3205
1732569,122875,3323,14184,4248
833138,72641,3122,7428,2847
407517,30811,1191,2686,853
40575,3184,317,255,169
795187,46488,2813,4306,1769
18031,733,1,0,0
1865951,37552,1218,7306,924
2530783,52461,1918,13746,819
2063649,70870,2374,8938,1292
2382702,55872,1927,17144,1247
4618659,50763,1776,10059,1164
2688864,58458,2476,9368,1710
1437032,67884,3018,8828,2516
1235332,41864,1520,5595,1195
0,3099,258,705,401
5638763,23762,1246,2980,1202
165846,12530,670,1066,283
3049057,473,44,105,43
8381039,6300,337,1843,337
1633291,68872,2070,9035,1346
2809974,80115,1721,16477,1121
1417744,71027,1882,8445,791
0,0,0,0,0
2236203,40516,2276,9844,872
4273238,61834,1953,15541,906
4182573,109863,1783,22605,1237
5154963,117356,1516,22702,1243
4956934,75074,1495,18458,1411
5120283,45911,1783,18408,1671
271753,15339,258,1296,140
3570417,19225,952,13730,502
8149065,46328,508,25329,526
5512564,108591,1013,23118,894
6264842,110663,603,25719,1256
3651574,75265,827,19828,1008
0,0,0,0,0
4261258,51301,1366,19415,948
3566443,80579,3212,16041,3027
2458297,69547,3000,9678,2729
2524608,70876,2991,15733,2548
901562,97143,4923,15697,4842
1737380,115018,3855,19183,4379
