instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
12697541,41456,920,11633,1041
15291073,2107,107,10597,211
11327864,80749,2736,13676,3651
10838827,485,29,7721,2159
8249801,49113,936,20397,1277
11414424,3808,46,5743,84
10672202,3307,30,7245,2129
8281490,79940,2896,11820,3636
7809705,157809,3187,18523,4621
2214281,127577,3005,15285,4023
2734242,75543,2540,19494,2126
4785835,52002,2810,20131,2650
1775053,50260,2237,8163,1888
158843,198,50,99,0
31433,6344,285,916,233
1501,574,27,85,15
1435861,101233,5669,18901,6813
2642795,148077,1368,6943,1482
459705,41062,3053,5603,2739
1140871,42538,2843,5448,2301
1179762,63063,6910,6160,6550
865996,75852,6582,10834,6893
1106763,49577,7034,12047,6729
801841,54991,4521,11769,4942
3000176,80880,10384,31252,9772
2089200,87761,13369,28142,11545
2414839,92400,10247,31520,9717
2885995,112367,10704,20910,12286
1532740,109793,4666,14807,6535
806695,83924,4475,10561,6049
699139,59365,5586,9517,6499
1147615,82880,6123,14396,7202
767500,76936,6588,13444,6690
1115359,92058,6351,10892,6845
10592064,16643,647,4931,1034
13707867,14822,1528,4796,2566
2859415,148029,8885,27034,9558
1950489,107353,13927,20208,14291
3092065,81436,14189,31430,13415
3065853,101840,13943,26020,12910
2775811,116737,12984,24750,12918
3332946,86758,15563,16344,14191
7040695,88523,6950,14638,8111
18132127,971,745,2456,2603
2783160,125367,18505,21404,16300
5837158,43710,6383,16267,8129
10447937,30228,2385,10323,3106
2052633,121190,11358,16093,11585
7422245,90787,2119,13154,1884
14661544,837,73,368,35
5412074,112431,6079,22247,8343
1842981,105859,4146,15577,4491
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11108451,6020,374,2264,538
10609881,5673,396,1411,313
13266042,3747,596,1753,1384
9022589,8154,513,5268,273
8990703,3067,61,5140,116
9183346,419,16,4682,89
5329442,51572,1998,36667,2794
2447891,113202,2950,20655,3824
1355255,72339,7733,14724,7750
2006117,96869,14640,17607,12176
2107599,135884,12782,18118,11964
2375024,128389,18842,15746,16977
2385794,140381,18766,15455,16917
2533765,139929,18963,14863,17367
2474237,134228,18573,14532,16604
2459866,145629,12380,16312,16574
1682887,56779,6060,14631,4485
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1600,496,17,76,16
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
