instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
16319051,2154,75,1160,472
7215988,141060,9252,26827,8724
3656490,166583,5803,22099,5550
5507278,85878,1634,20240,1804
12176037,1843,79,8649,67
10073628,40909,1210,9378,1499
12211816,1137,83,9616,67
10054488,55895,2375,10652,3114
10101102,23949,324,9830,1901
9157380,30166,500,8263,1242
9960074,5646,164,5941,1114
11944564,2682,48,6222,124
8070229,83649,3285,12358,4362
7706240,139225,2645,14920,4612
2590181,168047,3492,17935,4709
5178383,99855,1988,13363,1905
13837430,1277,46,2015,984
7628406,72514,1592,13646,2032
0,0,0,0,0
500372,48965,4306,8276,5445
2214685,128792,5857,21071,6571
1219050,20522,1948,2866,1577
458174,27399,1964,3977,1769
157406,23606,1833,2588,1663
466238,44363,2137,5529,1684
238803,32834,2436,3388,2172
186701,29251,2162,2830,1888
1375481,103418,4425,15861,4708
415938,46527,2885,4794,2572
226137,30434,2224,3142,2114
394590,39930,2027,4320,1656
244342,33815,2557,3509,2709
242555,33551,2436,3264,1867
986196,74561,2446,10694,3244
3376513,97608,11393,24911,11106
3242430,97241,13260,32710,11994
2818877,104051,13952,23013,13728
3072278,94305,11604,21980,11658
2779326,108048,16732,19821,15882
9812642,52757,3817,7701,4270
14595128,734,479,1868,2054
3027666,123535,15507,20856,14499
5095669,44143,9298,17260,9735
10649091,82367,5173,12776,7163
1289412,57802,7383,9020,5938
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1019378,4872,374,1557,470
12045155,1,0,1612,4
11963066,491,44,2206,81
11170972,9954,1076,4382,1575
7160084,6824,238,4660,327
9219149,4813,77,5751,1167
8187596,319,19,5605,1573
6377888,23799,1357,9666,1143
4171204,32616,1187,21386,1543
2717217,149499,3021,50994,3957
2272788,96395,10908,19848,10669
2083382,115640,15636,20802,13727
2549790,174098,19759,21131,18746
2949879,161328,23632,17559,21206
2891717,137239,18348,14868,16520
2422524,136978,18219,13869,16461
2403778,137681,15734,14665,14614
3304073,94554,7934,21450,11679
124146,7641,427,400,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,492,16,81,18
1600,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
69592,1314,128,332,100
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
69712,9040,456,2051,461
470519,18628,1033,4270,856
426776,17910,1084,6043,1322
1278830,18226,988,8888,1130
1168687,16299,887,3894,880
1386260,15411,720,4371,646
2827570,1684,105,1966,175
1076113,16413,931,4367,910
654228,20092,1117,3927,960
1527637,21942,824,4219,903
1816791,32784,1592,10284,825
2795491,68372,3022,18693,3134
4296139,82294,2324,20362,1559
4091248,68055,3198,17620,2018
6069906,40845,1329,13899,1202
7239615,60777,605,19162,570
8307753,81944,273,28720,713
8609340,42030,148,27360,221
8344689,32066,618,24675,1016
4932221,106640,2253,25449,1939
5272543,111384,2581,25904,1947
4887191,96447,2485,22265,1594
5341495,40026,1687,18396,910
5498511,18175,1247,33507,416
7323989,46498,1391,22068,889
6664991,45267,1516,23343,1660
4322017,165956,5261,26053,6335
5649791,57857,2860,22747,2300
3644145,52022,2687,14947,2023
7145404,46531,2028,26821,1123
4162512,109216,2368,14661,3327
2182602,128873,5337,26849,5961
10063537,18601,904,4889,439
14164362,37141,1249,11106,1224
5532408,53749,2565,12126,2469
1273142,83695,3539,9658,3142
806052,66713,3888,12106,3202
6192990,46143,1610,21530,1443
2845195,118211,2967,24522,3411
2621118,124727,1952,19337,2371
0,0,0,0,0
2266700,115492,1182,17488,2218
3456721,168501,4969,19188,5607
5417144,51929,2689,31982,2022
5935400,38415,2213,15027,1595
0,0,0,0,0
0,0,0,0,0
11289,2658,171,467,122
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
134,75,10,5,9
100081,1351,492,849,279
242528,3990,2823,1425,1141
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
141,246,23,22,25
792,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
37820,963,99,184,58
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1145,550,53,49,20
0,0,0,0,0
84801,10790,756,2647,644
2128486,20577,632,6330,663
1724335,13712,496,6075,452
1739558,15175,822,5802,555
2139874,3416,565,9830,22
3079068,17634,1198,19181,834
4621579,36637,1631,3728,823
7600819,70205,1230,10746,1812
2329584,117770,4781,20186,5286
2579958,111591,4464,19674,5137
2926761,106369,2448,20991,3005
2526798,173091,7633,19996,12117
993145,43563,2808,5620,2713
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
75210,12281,633,2154,792
