instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
12036206,70291,4008,14542,5366
2893245,127646,12421,24605,12999
16461010,1471,333,2130,1167
8382096,58619,6150,12905,6469
2134702,50225,6433,10670,7504
2390651,134811,8558,21806,6392
2638954,169762,3862,23939,4375
8884523,12995,304,11836,431
11531078,13392,491,8679,618
11742323,25507,304,9545,881
12245348,3059,93,8044,474
7563311,94671,2887,15255,4144
11234427,5111,281,7139,2142
10232455,23044,240,9990,2071
11427879,5544,24,7398,1783
10661276,34888,1125,9315,1720
8861350,96066,2836,11795,3695
2423843,174646,3912,19086,5905
1885924,112335,2471,10899,3250
6035735,92213,1973,14059,1808
13925448,1667,58,1874,1123
6961890,96791,4862,18916,6781
2356659,119978,5277,19051,5691
616430,5800,472,1028,335
48087,589,81,160,36
396240,13457,887,1957,764
45182,7726,473,1629,752
218366,33567,2656,3941,2286
173288,25370,1591,2157,1535
434088,40844,2134,5737,1705
262846,36012,2947,4473,2940
231404,32777,2143,3068,1838
761740,70603,4178,12798,4570
968582,73092,2861,7500,2690
210833,27531,2038,3346,1977
208435,29009,2103,2540,1806
426352,45808,2459,5203,2346
208483,31833,2373,2894,1853
203017,30481,1985,3878,1988
3262685,129040,7485,22787,7776
2874798,81569,13204,30204,12985
2952438,88013,13720,25163,12746
2639279,107670,11483,24174,11030
3432783,93559,14762,16376,13547
4548136,104937,11133,17298,12119
13777930,1248,251,2231,1158
8906446,72918,9682,15548,9819
3266193,89218,14960,19225,15387
11075930,16267,1711,10707,1906
3979200,126439,11330,15137,10981
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2210045,4984,349,1922,404
17112484,2175,199,3488,200
16748105,9832,1098,6331,1679
14763636,3344,76,9612,928
15707063,6126,684,8454,1264
233272,3633,71,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
37754,6894,448,953,566
0,0,0,0,0
0,0,0,0,0
1133919,26782,1305,10601,918
4263035,61720,1708,46312,1624
2561131,124446,3998,22832,5082
1458394,74139,8746,16294,8533
