instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
9126230,81280,1935,13913,3623
9317394,45764,1075,21252,1852
10889900,3575,36,7703,2232
11577069,5669,41,7351,1926
8690014,63237,2356,12333,4110
8746049,95046,1692,11625,2662
3333153,133020,3272,26764,3703
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
925,2133,61,714,165
2454756,157971,3151,16907,3904
2848887,91890,4193,19827,4276
1615757,28124,1751,4440,1450
611752,6509,428,987,272
58058,646,123,124,49
1241727,71867,4294,14727,4682
3130759,179826,3179,10661,3660
915870,25633,2200,3478,2242
1061844,48132,3223,5913,2240
607169,29720,2144,3718,1781
1375755,76375,7351,9100,7273
677291,53408,6704,8183,6665
949780,51955,6493,12602,6142
1775172,61526,7379,21517,7469
2859587,78003,11563,24478,10529
1926880,78593,11899,37251,10331
2583864,131049,11908,22685,11560
2820517,116574,6895,19752,8151
793933,79031,4218,11628,6556
838745,77924,5306,10518,7166
1174088,88064,5901,13629,6267
641161,51052,4946,9150,4873
801458,78968,6209,14779,7018
3680571,66792,4783,8357,4856
9580920,21658,982,4370,1577
12232474,28706,3229,7978,3938
2648866,146091,9273,25801,10627
2269131,97955,13516,22698,12860
3025071,85977,14046,30064,13144
3050154,135060,16404,29957,15770
3694739,93332,12089,21674,11829
2565453,107536,16762,19539,15927
10216023,49031,3292,6767,3733
14244666,2146,749,2368,2398
2829425,125773,15798,21322,14685
4858703,44982,9277,16099,9677
11120788,17767,1489,9299,1992
2303061,130824,12289,17585,12620
7616076,90001,1808,13019,1520
14692092,836,75,232,62
5280988,118191,5988,22969,8342
2163809,99540,4223,14872,4517
1756752,29,410,176,97
10684959,5477,527,4316,593
17587258,483,43,4452,54
13835898,11855,1129,8253,1776
13736418,3699,53,7581,1183
11576359,10450,768,8649,1799
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
810704,7506,742,1166,597
1640566,50,408,150,89
1523706,501,416,270,174
1187329,570,473,346,252
5777858,13578,720,4135,777
2675617,111523,2406,43185,2586
1803595,102845,9203,20339,10289
2193608,99714,15385,18032,12485
2097275,136551,12407,17921,11953
2825654,154583,22140,17606,19711
2830300,136518,18629,14533,15880
2360359,132274,18142,14387,16526
2476142,132983,17971,14128,15998
2297386,131512,14304,16736,17139
1791750,38569,4100,11297,2785
930463,1850,559,439,184
871166,408,440,144,92
972396,364,392,158,74
1108420,500,421,167,111
1451396,335,382,167,90
1738884,8,500,174,86
1774962,217,431,205,113
1791244,238,459,216,121
1805626,169,484,207,129
1768476,520,458,226,133
1830234,34,447,206,100
1820000,13,511,166,93
1763348,324,469,227,120
1580861,983,466,268,155
1643632,445,545,191,126
1751963,189,526,180,94
1633479,695,516,252,161
1572332,535,461,210,128
1251046,490,455,203,120
1622044,310,444,182,104
1830118,8,456,181,88
