instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
3091000,124252,2907,34722,2288
3365790,105947,1691,19841,1518
2540485,90598,2529,17824,2685
2509778,77814,4887,15007,10309
2181142,96917,5359,14513,7115
1713234,95108,9846,18754,10269
9772469,23928,1794,4956,1687
13897038,234,328,1391,1654
3082235,136537,10222,22184,10744
10368498,16968,62,4089,37
13985163,10303,401,4107,1786
3117461,107026,8224,18876,8205
2685052,144336,5641,22486,4416
3137596,133773,2468,22177,3019
11069912,6644,167,10162,203
8613214,29792,1371,10158,1237
5751293,38210,1223,21706,1208
12050794,25732,256,10275,470
11952603,4190,103,7415,534
7627776,79542,2696,15607,4286
11137905,19768,564,8373,1132
11375859,8200,45,6213,139
11262197,5606,33,5378,261
8781609,75141,2698,12191,3491
9194766,117202,1186,11931,2758
2287127,153786,4345,17979,6529
2143211,145505,3203,18003,3305
13032875,2021,30,2505,131
11677037,40017,501,8606,1017
2353101,138023,7586,24362,10537
1928053,39595,1937,6247,1228
29752,5623,265,923,300
30296,5591,338,976,500
49048,7724,464,704,212
96452,16948,1205,2193,1507
206847,31151,2204,3739,1703
198975,29516,1953,2786,1883
436818,39575,1829,5505,1844
235230,34721,2475,3421,1899
198271,25012,1753,2682,1528
586686,58379,3567,10624,4110
1102570,78656,2698,9054,2644
185832,28233,2007,2835,1735
65815,9197,626,845,279
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
100384,13904,971,1684,1022
359230,39770,1969,4233,1671
251866,30536,2259,2906,2123
197554,31190,2266,3110,2052
356058,35327,1895,4964,2009
3129368,120382,7681,21800,8085
2562354,72734,12315,24903,11411
2744342,63732,10708,24994,10158
2294539,117149,12649,24299,12612
3183075,73532,9910,15200,9818
2087129,90312,13814,16173,13618
6747673,51831,4123,7628,4302
11031388,897,213,1295,1088
7905888,44278,4512,9163,5039
1912036,83617,14667,14683,12980
4138212,40370,5761,13734,7170
10463526,12570,1031,8278,2073
2206937,125636,11352,15423,10904
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,20,293
15668711,4972,350,2377,314
17818794,450,42,1967,485
11943535,9983,1075,8661,3056
10233113,3262,55,6345,784
9687921,1279,39,6837,1513
1357478,14753,1126,2762,1419
1265298,62463,1838,36670,1747
2057087,116623,5176,20386,6228
1561147,77962,8177,17755,8013
1838659,96460,14160,15387,11828
2067739,121465,11292,14048,10765
1903898,100166,17420,12405,15188
2000033,113502,15137,11789,13650
2388249,135034,18528,14880,16568
2479482,135481,19136,14192,17269
2399043,138872,15068,14752,14086
3284821,94097,8277,21219,11569
94833,4473,75,0,0
69564,1516,139,343,109
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5412,665,26,144,29
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
937,232,4,23,7
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4746,1431,66,274,48
349083,16463,830,3928,677
425260,20651,1306,4365,1178
1230729,10672,634,10672,759
695270,19655,955,3086,1229
1903294,14785,678,5395,560
2379860,4938,285,2290,397
1547338,16440,981,4948,1084
1227273,22786,1190,5683,1363
2439145,47991,2668,9649,2184
3116299,69453,2640,20874,2598
3071038,82643,3079,18491,2075
3907763,62709,2977,16584,1846
5158554,58402,2334,17398,1596
7537064,24247,118,10406,259
7504647,60772,634,25407,482
7487250,78354,219,27982,676
8561770,43478,148,27129,340
6494765,56876,1374,21006,1008
5306646,98746,1637,22504,1409
3213044,93551,2729,20821,2052
4916467,86433,1959,22874,1464
2648376,17695,294,4112,272
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
60183,2731,234,1310,295
5081334,21887,1582,26468,276
5196881,33376,1572,28305,785
6722800,42729,888,16988,604
5328403,34145,1289,18549,1662
2631635,141138,4272,14474,5346
4491593,39875,1770,23149,1263
1681249,43471,2890,10880,2359
5785318,37483,1169,16820,961
5110527,27830,1647,19045,844
3323641,74882,1798,11992,1965
1051629,60705,4816,10864,3897
1791537,96496,4126,23414,4953
7997422,27170,1112,4731,508
14007207,13083,281,3631,486
7743253,55270,2088,16115,1462
1263564,63493,3413,7532,2824
631490,68560,3853,7737,3540
5228789,49732,2113,22472,1850
3638132,111174,2710,24089,3364
3941821,181108,1112,22740,2197
3901757,113209,5298,24583,5038
5418768,50900,2997,23953,2334
5583174,58788,2537,18865,2300
