instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
15142466,1637,55,1795,319
9299515,88304,5267,17370,7179
2834482,112871,11286,20408,10738
12411633,1672,216,2495,885
11437354,33161,3772,7588,4346
2913172,88265,10793,18085,11365
2102262,122707,6188,19114,4910
2909733,172928,4081,25223,4481
9595071,13458,307,11011,457
11129799,3727,265,8655,1322
11037324,37229,543,9164,709
12449480,1307,99,8068,329
7498724,97832,2914,15296,3995
11316227,5736,294,5879,271
11296023,22056,226,9113,1699
12170432,6262,28,6231,510
9986408,48952,1608,10576,2411
8736098,87536,2558,11929,3225
2321880,170526,3606,17911,5665
1847938,104097,2094,9379,2575
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
62552,12341,610,2383,892
6084520,87670,1590,13118,1666
13120682,1411,50,1813,1046
7527565,86073,4032,16926,5832
87403,7450,267,853,175
506073,35180,2292,5570,2726
1910529,118188,4886,19276,5345
1130316,30104,2497,4297,2282
634692,27351,2153,3489,2016
188920,27795,2010,3795,1723
534535,53486,2898,6132,2518
234487,33022,2383,3294,2230
925481,82678,4389,14179,5069
843508,62715,3053,6927,2814
193546,25746,1549,2193,1338
208414,29217,2247,3592,2308
486821,53863,2965,5070,2540
239975,34294,2401,3420,2322
788521,60487,2434,8891,2777
3438409,105705,10669,25004,10747
2931482,82108,12397,30664,11209
2774036,109432,14584,24684,14307
2902093,116179,13011,24205,12264
3351720,107051,16860,21005,16845
9976708,53298,3846,7818,4454
15613122,27960,3335,7604,4611
2267986,116853,17063,20225,16181
7745749,26599,4887,13938,6332
8094360,103377,7898,15595,10778
904135,37037,4564,5868,2817
0,0,0,0,0
0,102,29,78,29
1612,421,0,0,0
0,0,0,0,0
11247609,5045,383,2794,576
17911478,501,44,1913,51
11650101,10989,1105,6706,2099
11554965,3418,66,5810,263
9730388,1321,28,7168,1888
4572105,15782,1139,5079,1645
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
124843,9003,696,1635,882
1761463,81414,2010,40348,2041
1892468,107310,7315,20107,7587
1504771,74798,7909,15467,7629
1649983,81682,11659,13452,10171
1832927,132938,13325,15903,12638
2135374,124213,16212,15696,14746
2240932,110012,18037,13066,15273
2090342,109994,15430,11954,14150
2004329,107772,13160,11717,11780
1949444,106909,13892,11117,12846
2357799,131933,11604,18678,14472
1922633,20140,2510,9632,2251
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1590,372,5,52,10
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4629,538,40,98,24
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51388,4368,268,673,192
332618,12908,657,3701,530
269165,9412,468,1227,381
539183,17112,921,6206,994
932350,11834,592,8140,595
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
84151,14517,979,2393,1217
3195532,20712,967,7509,946
3308063,25909,1313,6493,1431
2040624,32993,1432,7202,1711
1746467,44834,2109,11217,1616
2660257,44209,1254,15022,1188
1016387,40790,1763,7605,1668
2293127,45249,1573,11471,1097
2486433,34811,1597,8044,1095
4370514,59029,1917,17460,1329
6261816,29316,851,10851,636
6653749,62714,617,19396,662
7587022,92138,348,35202,799
10943188,46069,160,34137,314
6711136,33139,4839,14121,2497
5255546,122634,2119,28652,1972
4606612,92409,3099,18029,3064
4515153,100797,2127,24725,1440
6102596,38160,1840,26367,914
6366005,20718,1507,27889,675
7183229,60696,1319,25707,1233
6997683,52226,1590,19614,1908
3352457,131334,4497,22476,5507
4116715,61262,2812,20954,2234
3958674,37174,2268,13930,1695
6589484,42478,1340,21477,940
4093432,81790,1956,17091,2185
1798054,124752,5600,18409,6891
6893557,51224,1601,17950,1024
12778668,6890,166,2084,119
9439814,48196,1406,16624,1256
1999298,62669,3472,8509,2845
1285126,75006,3702,9814,3190
2547869,66729,2879,15005,2792
5458981,61690,1864,21182,1994
3205023,162533,2159,25788,3206
3458464,190653,5854,23089,6444
5729590,47470,2575,30686,1997
5832033,56380,3316,19246,2701
7051899,47428,2443,32660,1387
5021963,55011,2648,15918,1710
10705717,64598,1464,13617,1692
3073233,124381,1635,19701,2520
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
134,162,11,7,7
795,398,13,68,15
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1576,328,6,53,7
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
131,200,3,16,3
802,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
141,1183,64,190,67
50120,3789,237,599,123
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
281919,29132,511,5062,708
29714,940,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
27418,4319,145,716,155
0,0,0,0,0
88013,16632,945,3603,1813
1506519,105197,4809,13950,5271
2023795,84324,3933,15850,4353
5527800,26694,2036,14074,2935
107002,0,0,0,0
140280,14939,877,2288,1147
0,0,0,0,0
0,0,0,0,0
12281,2601,158,352,67
0,0,0,0,0
0,0,0,0,0
18251,1912,65,322,120
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11292,1311,39,148,42
0,98,104,487,232
38093,3618,115,0,0
0,0,0,0,0
0,0,0,0,0
291,156,5,11,9
0,0,24,363,59
10605,2831,5,0,0
1401,317,3,41,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,73,7,25,0
686,191,0,0,0
5895,922,39,91,25
1348,228,14,14,1
0,0,0,0,0
75,35,7,4,0
393571,29046,1895,5428,2531
856742,53301,3363,10214,5030
37845,632,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
141,116,5,7,5
246951,21162,1734,4757,2655
1093606,53938,3273,7905,2524
1636861,24351,2126,7605,1523
893911,59143,2940,7868,3719
1462758,71097,3470,10896,3578
1039201,61502,3702,12760,4701
775015,62142,2881,9366,3662
1118141,69738,3700,12933,3641
1846703,62651,1856,18790,1596
1669142,35803,819,15376,579
1886771,60340,914,15845,779
2719738,119834,2441,22403,2587
6813407,99859,2861,17221,3995
8397620,81761,2175,12833,2570
13561177,14040,288,4411,586
7287204,54650,1467,21865,1044
5951348,87172,2409,27214,2671
5271032,150109,2738,19706,2980
13834607,1280,37,2259,819
9760343,69915,1590,13624,1551
4144248,104035,4277,19347,3292
11549866,13271,321,8184,424
3119706,197352,5230,21416,7379
5122011,128839,4502,23492,4428
2678997,155632,4827,29001,4840
6818855,50775,1352,35261,1262
7805756,31506,955,20007,1216
7961175,21719,279,5112,456
8661550,92,25,52,43
5785618,49424,1419,23294,793
5951793,72254,1127,26037,551
5712493,111003,1721,27335,1350
6609192,125666,770,28424,1339
9332811,37409,327,30769,371
9610119,34090,359,24723,410
6122627,110732,1305,25382,1141
6749907,124097,549,35119,1439
8126473,96527,998,30570,1211
9286324,79874,265,23602,1373
6544352,151419,738,29078,1477
8184715,29048,653,27168,191
9597985,17280,279,20747,161
6528797,47264,1220,24695,972
7609569,8691,977,17935,151
7327240,2831,414,26895,59
6823372,8214,607,31348,159
6620711,29186,1375,29813,790
7536682,30536,1110,13166,782
7121711,49040,1264,28656,1616
4618763,111789,7313,26650,6588
6093808,45180,2459,32679,2391
7703264,39169,2951,17155,3188
6497397,29226,2105,39083,791
9428303,31246,1209,22591,871
6584060,56524,1968,25109,1945
4339225,173591,2408,26444,3834
4848784,127487,3326,37754,3277
6822724,111890,3283,35400,4038
6575489,75843,3451,24508,3000
7994813,22721,302,5658,440
8718523,315,38,34,51
6820492,77489,1682,30245,1119
6490495,71540,1119,25519,810
6420095,143243,1074,34481,1280
9480262,87984,433,34123,908
10240215,40114,438,24167,370
7663173,86603,285,29523,792
6874329,110175,453,22547,1014
6291087,111317,548,31825,1044
8420821,66829,99,26313,701
7236274,89067,452,22916,956
6694733,113854,533,23120,1046
7129901,13561,518,21721,132
7908861,17016,294,21631,159
6798359,48308,1201,24753,962
7993962,7244,1055,21260,108
7949002,2301,332,27396,111
6857310,8582,758,38877,229
7217216,40680,1414,20301,994
7816586,37489,861,18473,828
7230002,84990,2513,36344,2567
4356600,134478,6749,33670,6453
4178367,146134,4818,36554,4659
3510712,160490,4454,24634,3995
3399697,120221,4350,24700,4512
3365018,155756,3754,27526,3111
4269078,153854,4427,29673,5987
6358372,85033,2084,35352,1862
8205322,37587,1021,28917,1197
9113464,20056,259,4382,334
8486698,232,22,37,36
5903872,51582,1392,24159,862
6478159,73756,1121,27735,631
5968204,121384,1042,26910,1274
6489266,113122,760,26638,1056
8847059,32363,170,26078,355
8244851,34885,490,25212,363
6945010,111078,472,26757,921
6987732,113831,391,28454,1127
6889004,87430,440,31382,810
8200645,84773,112,26475,1091
7225742,109612,446,21532,1246
6584023,71768,692,21597,615
7599724,19172,375,22793,163
8082094,18054,208,21965,151
6839319,42394,1681,26270,936
8033027,2834,587,23227,47
7795902,9605,488,26660,242
6870168,11869,1264,38604,508
7677046,33193,877,16080,756
7556961,45950,1041,23357,1194
5469818,98434,4559,27352,5531
5132373,70081,5748,41070,4382
9107889,51863,3639,20902,3324
8157298,22786,1835,39212,566
9595016,58041,1834,26695,1694
7016284,87764,2494,28274,2922
4585568,101032,5387,27577,4919
5265520,57862,3235,24147,2889
6381039,69820,3371,26622,2644
7673368,45906,3094,32799,1265
3518267,111804,4906,23623,4482
8116406,17460,73,6315,372
9040911,4199,75,3973,148
3740682,66045,3781,13468,3801
2669128,83664,3420,29038,2492
3522076,136142,3040,27730,2134
7676939,49336,1310,7562,1057
13292328,26364,695,4805,972
2569024,152444,3152,25078,3985
2811986,97606,6437,16623,6330
2877128,130948,2703,23994,3261
3063187,174440,7441,21166,11155
1425069,49309,3179,6794,3351
992270,219,201,333,59
0,0,0,0,0
