instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
11787140,81975,1805,15512,2333
3119652,161519,5680,21084,5044
3829026,91188,2142,20305,2232
11562254,1806,74,9370,110
10570492,32395,731,8256,1056
11658533,6458,76,7669,349
10457673,4212,79,5670,117
7484346,93334,2797,15720,4269
11224941,5772,279,5810,447
9645020,22828,191,7646,377
10362525,12218,206,6323,459
11221397,20781,903,8099,1286
3081976,78604,2971,21524,3061
7009245,55220,1199,14137,1382
5541417,145081,3067,17444,4899
2849454,175307,6026,20430,6477
2189264,90566,1935,6561,1590
2555687,69652,13267,14484,13286
3463676,78243,11850,33428,11130
2118759,73390,12616,37417,10734
2450061,104000,11514,20029,10403
2986433,124029,10864,21066,15427
2192425,146024,4096,16672,6967
2019706,112362,7983,20073,9877
6056473,92778,8162,15930,8135
12880506,1870,328,1950,1219
7882747,63154,6837,13848,7525
1791584,98099,11245,17347,11034
15,0,0,0,0
445720,40395,1941,6493,2053
8928446,65823,1003,9322,1103
8919366,19682,1656,2776,1649
4227782,31434,2048,3658,1828
3779764,57989,2867,9107,2807
1280600,99785,3825,16721,3899
580069,68546,5427,9768,6177
1006432,75504,3660,10964,4055
1392531,101415,6044,17342,6913
1063131,68703,1916,8574,2010
554759,63603,3615,9309,3513
867872,38615,2843,5096,2215
1086817,43576,2339,4435,1839
498799,36094,2656,4089,2177
104662,15224,1025,1462,941
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
60796,10179,919,1692,1014
217677,28419,1843,2191,1371
1926823,116734,4549,20703,5348
1860064,70289,12474,17042,11657
2639971,58530,8455,26433,8407
2074879,72180,10858,17426,9562
2085377,87790,9236,19611,9586
3582783,51725,7370,12282,7902
1984815,76397,13407,12966,12387
4776917,71217,5533,10928,6057
9711518,1341,144,1722,754
11295729,40000,4060,8725,4920
2280563,106048,16507,19243,15881
7426445,23466,4819,12743,5875
7872947,84099,5162,12753,6811
1239453,53800,7173,8668,5786
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
291,3225,299,1493,416
13663822,1547,42,2033,153
14416149,450,43,2446,48
11673299,10106,1064,5641,1912
9697051,4025,64,8224,1992
11223127,379,16,5048,111
6186808,24905,1300,8957,2190
2194289,103734,2197,43240,1910
1582646,91642,7564,17202,8193
1873858,83259,10144,17281,9361
1653362,100629,10870,14543,9766
2137328,129749,17129,16541,15095
2436617,137042,18409,15563,16628
2367365,136724,18137,14948,16437
2409885,133721,18445,16050,16700
2468353,132101,17886,14986,15876
2358715,133847,10945,20239,13680
821764,15550,1897,6337,1516
0,0,0,0,0
69564,1563,139,359,131
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5416,692,27,158,34
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
937,253,24,33,25
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8441,2426,164,513,129
569494,20027,1070,4782,903
436425,16634,950,5813,911
1048473,16132,729,8643,849
775525,13882,872,2910,1011
1758013,13907,609,4991,420
2091885,6275,337,2494,402
1854396,22130,1192,5093,1137
822456,18000,1052,4669,1107
1413809,22839,909,3580,1179
1330002,20844,1100,5696,726
3016717,55062,1492,19937,1717
2002464,82073,3309,15912,2692
4039386,60069,2627,15553,1749
5314432,68451,2237,19451,1392
7538756,17503,32,9020,50
7319780,63306,650,26347,632
7296302,84342,264,26565,749
8614225,43601,152,26983,334
6866133,43241,1514,21975,1167
5454144,105277,1780,24222,1738
3412795,92410,2553,18353,2361
4611096,91374,2210,20360,1445
3204394,27112,407,6852,295
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,6
2738060,22281,1462,18449,650
4273593,11407,903,24759,118
4783580,41014,1357,20669,942
6693233,37731,805,15908,752
4434300,39291,1314,16373,1444
1553329,88469,4182,10473,3766
3279803,73370,4628,20313,4010
3569343,50077,2597,20578,2009
4891367,41403,2130,15872,1594
5714006,44570,1955,20101,1344
4223108,86618,2091,18376,2541
1634951,123074,5419,17151,6445
6899486,49394,1559,17810,960
12224556,6188,123,2028,127
9565973,37373,1138,13632,843
2117262,62728,3211,8764,2861
1296743,66477,3629,8353,3186
2672930,63186,3037,15963,2774
5297354,67179,2005,21507,2080
3770035,141633,2468,25209,3319
3823391,184468,3364,20197,4934
4964901,68529,4290,32760,2878
6654037,46662,2493,18105,2258
6141679,57051,2702,25626,1833
5654616,53246,2861,25731,1592
10888540,37356,1043,6245,1115
2697751,127776,1810,24641,2690
477817,30850,413,4118,391
0,0,0,0,0
37802,1176,110,257,85
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,11,103,31
1585,653,15,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
933,241,3,16,3
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13683,4171,151,527,68
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
247633,27033,455,4930,688
64000,2834,59,107,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5375,1640,68,137,52
0,0,44,212,58
36595,1209,46,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8896,2055,118,224,65
0,0,0,0,0
768,272,1,45,13
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
25728,2697,133,350,40
0,0,0,0,0
0,0,4,48,21
2491,287,0,0,0
0,0,0,0,0
1431,1195,58,506,166
787304,63956,3134,12424,3917
1538973,88412,4091,9187,4754
2701046,51043,2448,12202,2647
4104292,22456,1560,12921,2881
109295,4303,367,304,34
0,0,0,0,0
141,125,5,7,6
0,0,7,382,80
17033,2458,74,104,17
836,106,12,18,5
28,43,8,5,0
62,0,0,0,0
38466,4051,239,660,287
291,163,6,17,9
