instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
3328143,139212,13110,24954,11973
14333915,3514,542,2805,1334
10247123,63798,6674,14022,7407
6611386,90419,3865,12180,4209
12522376,1477,48,1419,998
7795940,74888,4150,14371,5080
3306918,121660,6919,19323,5301
2409175,153138,5246,23070,5188
7508015,45770,475,15163,1014
12115619,1745,81,7732,100
10631838,37384,658,9846,1056
11419454,1046,100,8074,195
7859831,96984,2813,14295,3764
11308503,1499,28,5810,91
9109371,29389,668,7917,1046
11977775,5443,37,6096,208
11518440,3071,42,5805,49
6993382,96505,3035,12371,4255
5877826,137349,3315,15775,5298
2489310,163277,3375,16854,4672
6271189,88584,1754,13284,1669
13219146,1486,44,1651,1009
7351325,91071,4293,18439,6683
2284418,126188,5747,19798,6008
1065599,320,335,479,75
29752,5657,275,895,268
0,0,0,0,0
70647,14230,835,2020,754
14511,365,26,0,0
128775,21244,1640,3064,1902
190483,27930,1860,2684,1340
202110,29511,2197,2933,1934
470762,44064,2418,5984,2364
217794,32022,2220,3203,1794
191275,29271,2176,2745,1907
1520152,111031,4464,16475,4829
235288,31464,2243,3577,1994
214428,30032,2200,3177,2007
361173,36467,1791,3739,1620
290587,34936,2606,3812,2259
170361,29966,2165,2938,2007
69233,3226,248,269,165
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
30163,5320,601,997,691
1189420,82850,2963,12204,3301
2055908,78563,9663,20123,9654
2298731,75914,12016,28841,10848
2702030,79174,10922,18356,10395
2113528,87891,9252,19764,9318
3546027,58461,7832,13613,7999
1927098,73080,13427,12575,12000
4070197,83321,6624,12795,7306
9868632,1082,143,1656,468
10611499,272,249,976,1101
3154326,123737,18951,23078,17501
6803426,42751,5904,15494,7872
8901607,64944,4125,12281,5589
1494490,74074,8247,9670,6977
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4717702,29068,1375,7187,1152
13859014,518,42,2699,50
14075986,0,0,310,5
10083002,10525,1079,6681,2691
9224097,3510,59,6219,896
9556291,974,32,4795,113
7360692,14224,768,16393,627
3223541,64091,2366,33839,2800
2467724,133648,5026,32245,5792
1857883,80272,7922,17529,7819
1921935,103624,14803,16869,12413
2435408,160927,19274,19962,17635
2830677,135301,18234,15159,16668
2382475,150664,20201,17069,18264
2757014,137445,18759,14864,17052
2433027,133183,18808,14317,17197
