instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
2565052,155868,14741,28836,16366
10162912,23189,1790,4732,1603
11939290,801,283,895,937
4373458,80550,9731,16729,10496
7501920,72837,611,8860,553
12078264,1237,52,807,717
7112108,78535,4423,14900,5421
3371657,118129,7275,18905,5339
2253358,154742,4586,23315,4944
8010500,48341,476,15853,1109
12321201,1688,66,8449,846
4717029,48527,2059,24209,1741
9825944,44057,753,10972,839
12348713,1163,99,8586,209
7917274,96482,2820,14911,3816
11538352,2237,34,5989,18
10352906,28048,581,9463,2398
12103769,5765,40,6555,827
11934887,12136,442,8900,2781
8166724,103346,2766,11459,3060
3433258,178942,3949,20216,6123
2062222,134556,3705,15392,4393
8826463,79507,836,11199,854
14505554,769,65,165,35
4159110,133301,6270,25824,8368
2056095,83619,4066,12734,4234
157253,5300,275,866,303
472859,1062,276,910,323
77846,12843,754,1268,513
53612,11685,788,1725,798
249458,34439,2442,3811,2253
159914,24177,2019,2802,1901
476139,49849,2341,5987,2391
300590,35346,2418,3633,1970
158442,23933,2018,2727,1767
1487498,112879,4387,16226,4863
309205,37903,2588,4195,2122
167502,25256,2133,3155,1959
406884,43029,1803,3987,1560
88285,11719,715,1347,638
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
151774,20798,1619,2044,1481
167440,21321,1467,2203,1331
201179,28213,2143,2931,1942
1627248,114718,4324,20403,4925
3110726,69469,11876,17885,12103
2669723,72637,10051,30722,9615
2505524,106029,14172,23631,13929
2590717,80314,10382,17933,9813
2980432,76637,14179,14508,13030
7079505,89725,6879,14361,7833
16204248,365,310,1220,1280
4612256,132002,19605,24959,18541
7339222,35607,5416,15887,6979
9054277,110162,8779,16262,11143
812548,28367,3521,4775,2217
0,0,0,0,0
0,0,0,0,0
7225135,5140,356,2597,408
16543698,770,54,3070,62
14650119,9354,1064,5668,1943
11207596,953,46,6331,114
11139310,4530,30,5675,58
5967261,15397,1140,5958,1680
0,0,0,0,0
0,0,0,0,0
1378286,66315,1646,38156,1609
2223639,125236,6765,22522,8030
1863393,104586,13225,21474,11820
2487304,122684,14944,16925,13839
2278124,132362,17433,15757,14596
2352790,131005,17354,15450,15669
2365387,150391,21335,15961,18138
2726775,133199,18626,14076,16483
2353662,160519,15339,17495,14983
3412535,75847,8047,19186,10098
0,0,0,0,0
134,1631,138,346,131
69430,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,5
1626,374,14,54,12
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7468,796,41,185,48
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
134,259,40,142,43
348818,17574,870,4120,540
337841,19540,1241,4677,1504
1130630,17293,862,10939,917
924500,18624,1079,4649,1227
1902681,16580,767,4602,754
2977908,5635,313,2735,395
1072276,18075,984,3769,847
951745,14678,906,3996,1042
1133708,21097,711,3448,790
2532722,50459,2549,19937,2044
2865449,97289,3999,19071,3912
4403741,64114,3099,16327,2045
5166489,68111,2038,19671,1583
6452571,30437,895,11290,581
7002378,68865,641,21544,648
7541919,78671,262,30578,794
9628726,49124,158,30218,349
7645735,48453,1323,23538,1025
6108410,117509,1817,27694,1569
3782124,87196,3008,20883,1933
5343247,85214,1590,21783,1122
2113287,14316,262,3049,224
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,11,58,175
4449599,27938,1906,28008,698
5520100,36905,1662,29851,946
7263567,39210,803,16971,838
5211411,39443,1548,17784,1678
2781227,142051,4618,21440,6038
5507983,48768,2319,21027,1796
857936,35095,2161,5597,1955
5719943,45926,1223,21373,1259
4994759,22629,4111,14118,1512
3153705,78526,2433,13978,2800
1864247,143043,5686,22956,6741
7724330,33642,1421,12558,999
13814841,4390,90,2479,252
8830591,60549,1945,17939,1689
809332,69638,3573,8962,3160
1155144,76527,3538,9694,3040
4050754,47759,2622,22589,2312
4866423,112575,2797,22533,3432
4243759,194814,925,20867,2044
4095534,95734,5629,27769,5246
