instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
5533177,154063,10297,24961,10964
14206865,1459,35,2266,672
10827689,44878,839,7932,850
3072443,92528,8667,18665,8151
2618982,163819,5801,22188,4862
4260126,91526,2100,20117,1968
12098579,1865,96,9266,95
11097378,36825,725,8335,1037
11273587,1119,63,7736,39
11185179,23564,1025,8709,1753
7764268,74865,2031,13367,3764
10224093,27747,514,8101,759
10709857,2419,74,6781,1365
12063639,5708,38,6058,162
7632536,79091,3015,11517,3745
8585441,97752,1067,10243,2753
2330077,156557,4593,18591,6563
2485459,154276,3399,17889,3440
11865531,2077,29,2405,128
12503005,26677,651,6195,791
2567913,145984,7042,25482,10213
1894755,46057,2743,6633,1836
495802,311,96,290,42
29750,5813,272,886,280
1501,518,26,87,25
79068,13150,789,1656,737
0,0,0,0,13
213469,34527,2489,4356,2613
216775,30647,2103,3084,1723
427763,40002,2026,5659,1844
253377,32885,2315,3140,2150
210786,33086,2355,3243,2144
498055,50062,3097,7915,3518
1211347,87016,3179,11599,3303
228301,34320,2425,3420,2022
159114,23900,2059,2708,1796
426904,44219,1944,4683,2051
260061,35852,2602,3083,2064
186408,21852,1534,2378,1385
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,6
1426253,95441,3963,15030,4470
3128068,89297,11550,21578,11326
2690329,57476,9925,27404,9196
2192946,83795,11316,18114,10870
2157653,106683,11411,23922,11148
3326924,86900,15618,15463,13440
3015907,101582,9209,15997,11122
9408578,3047,258,2421,491
11090946,359,253,918,1014
4292976,70966,8769,14580,8593
1702194,86932,12976,15628,12786
9035541,12136,3270,11084,4783
6361258,103697,8110,14494,9716
886232,35187,4382,5673,2761
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,330,392
15770192,4898,383,4097,200
14416354,4560,268,2731,203
10037850,12351,1185,6199,1958
9502284,2725,64,6431,176
11054031,894,48,6889,117
7776962,26128,1147,17016,940
3320326,58670,2397,18861,2753
2466220,104512,1343,41127,1868
1400097,80305,8105,17402,8582
1779864,86199,11962,16025,10013
1633886,100343,10107,14671,9497
2148987,152874,21054,18597,18738
2893491,137723,18685,15219,17020
2390382,136452,17830,14595,16220
2464845,137554,18967,16096,16861
2423294,168993,16817,18976,17687
3455513,68923,7566,17878,8431
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
70004,1690,170,377,124
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5028,625,24,144,33
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
134,1988,83,236,81
319517,19795,1090,5283,894
533573,18921,1133,2210,1271
581391,13790,866,9945,824
905149,17039,871,4242,1200
1793947,16047,860,6746,754
786212,10210,515,1183,453
2798895,2001,124,2052,225
1928815,44977,2919,10096,2732
3617465,63802,2969,17065,2372
2467107,72894,3256,17758,3399
3670738,84962,2247,21389,1340
3755618,56097,2512,17569,1246
5853514,53027,1288,16872,915
7424643,34703,418,13091,343
7652724,65609,379,27571,590
7808351,75253,233,28187,607
8871535,31259,119,26383,227
6218593,71658,1543,21513,1173
5295372,93145,1748,22701,1419
2684572,115157,3024,17368,2098
6047315,73675,2006,22432,1457
5836781,22275,1452,26355,242
5169574,39031,1728,30842,1033
7758933,48250,1520,22846,1334
6298386,127372,1692,20657,3821
4185142,81172,5298,28158,4391
2555313,39779,2285,7830,1786
4672758,53130,2128,16687,1773
6339817,36926,1782,22712,998
3154544,70914,906,10346,1459
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
132,604,79,583,270
1354121,91826,4068,12734,4844
2155753,80823,2838,20793,2880
8055817,14564,575,4218,421
10555503,2645,32,1101,70
6872850,36360,1105,11417,870
3546250,55032,1846,11146,1854
1192889,50022,2967,8924,2382
520476,54236,3300,6300,2979
4206561,40563,1819,19020,1831
4243211,98074,2439,20575,2633
2819888,127266,1725,24245,2542
555821,34436,348,4793,460
213245,4027,2602,1768,1087
2556658,127412,2149,19592,2670
3691892,171637,5604,21424,5681
5677386,55409,3237,34664,2681
5330287,24077,1244,8543,854
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5515,895,30,204,40
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,6
141,139,12,7,0
37679,1347,108,324,72
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
929,266,23,23,28
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1036,213,3,18,8
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
202,250,15,13,8
400263,13235,769,3641,721
1924236,20096,621,6708,594
1826388,14932,493,7045,484
1855473,15996,948,6732,570
2167799,2724,415,8711,30
1730186,5730,780,13197,200
1850507,27703,873,7207,867
3701952,17371,920,2433,399
8274489,109773,1450,15687,2587
2600588,118885,7473,24243,6859
3049003,118606,2050,21323,2817
3078710,138275,5606,21661,7266
2191916,143179,5829,17365,9496
153730,8101,469,1311,426
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
51001,5561,356,1836,488
2558678,101474,2012,16666,1562
2483147,123287,2307,15782,3021
3178987,120420,1873,20023,2230
3193027,181950,1680,17780,2655
3487214,146771,1916,10954,1573
3248737,81115,2009,12869,1697
3033309,43750,1145,10000,2041
2381607,149432,6888,21073,8531
5161242,74699,3007,17814,3425
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
136,708,145,772,480
4028568,53301,3510,14559,3376
1267718,44717,2674,4552,1887
2481813,48107,1395,6651,1953
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
139547,15045,854,2557,1050
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
382057,34444,2219,6254,3286
894847,55743,3513,11023,5112
37661,910,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
4994,1340,69,205,77
467391,50017,2083,8413,2842
1085889,57553,3515,8365,3152
1766914,56582,3821,11529,3721
1604727,82995,3686,10990,3590
1289764,65311,4461,14924,5958
1349436,89130,4691,14007,5556
1536144,60547,2971,15672,2895
1802608,65073,1370,20378,1212
2449089,51782,689,16702,635
1499634,58918,699,10787,1201
2566209,111596,2357,21325,2470
3240879,154340,4124,21709,4536
11831860,28786,98,4515,212
12973475,23334,599,6733,1923
3406360,135310,5272,19947,3593
9273161,15975,450,10775,396
6833677,119370,1513,14917,2885
2244927,134589,5700,14623,6860
4935886,106420,3586,23588,3319
124051,306,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1581,526,10,67,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6071,790,41,182,44
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12056,2539,142,383,91
3499045,4173,468,693,296
1273740,69632,1848,9708,2870
1710439,48097,1186,8737,1423
2521596,58008,1041,12241,1544
2529844,73089,4006,13853,3773
8402379,1140,63,469,23
7479232,12271,321,3650,558
5376368,22872,927,11489,425
