instructions,L1-icache-load-misses,dTLB-load-misses,branch-misses,iTLB-load-misses
3523151,143472,3571,41593,3077
4228337,120580,2226,24586,2137
3425412,101683,3714,19211,6803
2623161,117037,4928,16623,7239
1915717,99974,11246,22023,12302
7440573,52199,3940,7947,4245
12028584,634,285,1151,1165
6630003,63397,6878,13612,7131
5611818,88744,3524,11420,3678
12198438,1633,41,1804,906
8794242,67814,3126,12592,3738
3487821,126776,7283,20334,6005
2497430,151289,5642,22611,5191
5971092,53531,607,15325,854
12238752,2417,88,8289,95
5649544,38899,1804,19927,1511
8009232,54526,1009,14062,1182
12225289,1131,95,9428,71
10011925,55102,2276,10904,3458
9278394,29055,475,10194,2160
10479569,28359,578,8963,1735
12316166,5722,32,6079,172
10800957,1371,35,7362,1943
8010053,97241,3001,12247,3888
6361674,139654,3434,16678,5680
2472793,158245,3182,16420,4273
6155183,93170,1883,13379,1824
14154484,1601,57,1815,1129
6624006,102032,5220,20443,7510
2381995,116213,4950,17779,4824
1024413,7088,562,1594,401
0,0,0,0,0
79344,13822,827,1734,749
0,0,0,0,0
198078,31625,2228,3936,2142
120229,18301,1224,2070,1157
139688,21053,1535,2291,1718
448391,40377,1852,5480,1675
218246,32430,2486,3634,2293
240024,30250,2099,2854,1811
931616,84808,4318,14224,4660
829332,60091,2884,6856,2730
196177,27066,1993,2586,1863
209220,32079,2137,3788,1865
486307,49429,2711,4431,2336
15194,1673,27,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
145001,19288,1361,2254,1462
216119,30152,2074,2510,1620
2674879,112076,4474,21245,5213
2520621,83516,13845,23793,13238
3256057,72111,11567,28333,11021
2396729,116051,13081,25025,12965
3186957,83161,11178,17590,11183
2319705,130120,16948,19666,17087
10112973,12748,853,3488,489
11777433,830,259,1107,1183
4555557,89810,10773,17823,10729
2439302,70068,12375,14899,12390
7851440,8747,1828,8476,3099
6305234,89183,5391,12299,7026
1210513,49589,6949,8531,5579
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
8421381,5090,373,1914,565
18153903,439,43,752,47
14628123,10364,1081,8433,3247
15105466,3135,55,7824,1093
10531521,15327,1141,8385,1741
30087,9047,430,2397,532
2447616,106493,1683,44425,1628
1417481,92058,8067,17089,8842
1839417,82515,10122,17107,9316
1711134,125006,15571,17652,13985
2373725,148007,19969,17119,17322
2587897,130774,18142,14762,16431
2408149,135365,18629,14781,16264
2467706,115939,14910,11930,13304
